,Review,Sentiment
0,beautiful package bintang safety nya,netral
1,tipe kulit kering,netral
2,kirim beda provinsi gapapa packingnya aman banget moga cocok baik kulit tipe kulit minyak,positif
3,top,positif
4,tipe kulit minyak tipe kulit kering tipe kulit normal tipe kulit kombinasi kulit kerut kulit jerawat kulit pori tipe kulit sensitif,negatif
5,exp,netral
6,no review found,netral
7,banget sih beli bagus banget ya muka kemas biru viral perskincare an semenjak hamil stop pakai produk bayi coba kangen sensasi pakai feelnya beda moga ngaruh jerawat suka muncul,positif
8,tipe kulit minyak,netral
9,tipe kulit minyak kulit pori,netral
10,tipe kulit minyak tipe kulit normal tipe kulit kering tipe kulit kombinasi kulit jerawat kulit kerut kulit pori tipe kulit sensitif,negatif
11,barang sesuai pesan,positif
12,kirim oke saran facial wash nya fragrance biar bau enak bau nyaman,netral
13,moga cocok cocok banget pakai,positif
14,kirim cepat mantap,positif
15,alhamdulillah barang emas barang ok thank you kurir sicepat team avoskin,positif
16,bahan gampang serap,netral
17,bagus,positif
18,bagus,positif
19,oke,positif
20,gratis mini pouch terima kasih moga cocok,positif
21,alhamdulillah barang moga cocok selau harga diskon yes,positif
22,cocok produk,positif
23,kali kali beli toko official kali beli amanah thanks,netral
24,barang nya oke,positif
25,tipe kulit minyak tipe kulit sensitif kulit pori,negatif
26,tipe kulit minyak tipe kulit sensitif,negatif
27,so far so good for daily use,netral
28,tipe kulit kombinasi pakai hasil moga cocok ya,positif
29,tipe kulit kombinasi kulit jerawat kulit pori,netral
30,coba moga cocok kulit,positif
31,kemarin coba cocok tekstur ringan mudah blend whitecast oily apply bagus banget moga diskon,positif
32,moga manjur exfoliasi wajah,netral
33,doesn smell as nice as other brands very chemical,netral
34,tipe kulit normal,netral
35,nemu serum cocok,positif
36,tipe kulit kering thanks seller tokped,netral
37,good product thanks seller,netral
38,terima kasih barang terima,positif
39,produk bocor apply muka asa lembab,negatif
40,keluar sunscreen spf avo team formulasi persis kayak tgs please tipe kulit mudah jerawat kayak,netral
41,paket rapi kirim cepat seblmnya pakai varian ybs cocok moga cocok varian,positif
42,coba tau hasil,netral
43,yeey deh moga cocok kulit biar tetap produk avoskin,positif
44,barang selamat packaging bagus sesuai order,positif
45,barang coba moga cocok,positif
46,always the best sih sih avoo thanks avo cocok kece hasil,positif
47,tipe kulit minyak tipe kulit kombinasi tipe kulit kering tipe kulit normal tipe kulit sensitif kulit jerawat kulit kerut kulit pori,negatif
48,tipe kulit kombinasi kulit kerut kulit pori,negatif
49,beli sekian kali,netral
50,rugi banget sesal beli toner coba paling merk bikin kecewa avoskin beli ml kirim ml aaaaaa chat solusi suruh tunggu senin bikin tambah emosi review rating ganti senin solusi ganti rugi,negatif
51,alhamdulillah seller komunikatif gercep coba produk moga cocok amin,positif
52,tipe kulit normal oily pori gede komedo hidung moga bantu ya xixi,netral
53,thank you selamat,positif
54,kulit jerawat,netral
55,tipe kulit kombinasi,netral
56,tipe kulit minyak tipe kulit kering tipe kulit kombinasi tipe kulit normal tipe kulit sensitif kulit jerawat kulit kerut kulit pori,negatif
57,andal exfo malam terima kasih tokped asih promo harga,positif
58,pakai sekian kali cocok toko percaya,positif
59,deh ragu kalo avo mah,netral
60,tipe kulit minyak serum resap ringan wajah bikin lengket moga benar cerah ya,positif
61,tipe kulit minyak kulit pori kulit jerawat,netral
62,barang orisinal,netral
63,coba moga cocok bagus kulit,positif
64,coba moga cocok hasil bagus amin,positif
65,coba moga cocok,positif
66,barang mantap muas,positif
67,bikin wajah lembab minyak cocok,positif
68,kualitas serum moisturizer avoskin top habis deh worthed buy emas super rapi kirim cepat,positif
69,sesuai harga murce diskon,positif
70,pesan resi nya tulis pcs salah divideoin percaya beli eeeehh ya divideoin foto doang,netral
71,moga cocok,positif
72,barang selamat jual responsif terima kasih,positif
73,beli mama cocok banget mama usia mama pakai kulit mulus kerut kurang repurchase kali,positif
74,exp alhamdulillah moga cocok coba pakai retinol pakai refining suka banget,positif
75,lembut bagus kulit normal dry sensitif cocok kulit minyak jerawat pump,positif
76,kirim oke exp produk serum exp toner mending,positif
77,bagus cream mata kurang mata panda mata segar pokok mantap deh,positif
78,toner keren avoskin,positif
79,sunscreen baik,positif
80,produk avoskin kecewa,negatif
81,packagingnya oke coba produk so far toner oke mudah cocok sih toner serum,positif
82,bahan ringan coba moga cocok,positif
83,tipe kulit minyak jerawat moga cocok pakai rangkain avoskin moisturizer pakai hasil oke tinggal serum thank you seller tokped,positif
84,packaging super safe rapi selamat tangan,positif
85,packaging nya rapi super safe segel produk aman tang,positif
86,kirim cepat emas aman barang sesuai expired aman,positif
87,tipe kulit minyak kulit pori kulit kerut tipe kulit sensitif,negatif
88,gel mudah serap travel size pas katup plastik kadang suka rapat mudah tumpah,positif
89,tipe kulit kering tipe kulit sensitif,negatif
90,pakai serum vit avoskin bagus rajin pakai pagi bekas jerawat hempas,netral
91,enak banget pakai oily dry mula exfo cocok banget,positif
92,paket pesan jum at senin siang diskon ribu cashback ribu gopay coin free ongkir btw serum cocok banget treatment dermapen ya bekas jerawat pudar,netral
93,paket packing rapi pakai produk cocok puffiness mata kurang thanks,positif
94,beli serum ampuh eksfoliasi coba tonernya,netral
95,coba mudah an cocok packing suka ngt,positif
96,exp diskon packingan suka beli,positif
97,tipe kulit minyak tipe kulit sensitif kulit kerut kulit pori kulit jerawat tipe kulit kombinasi,negatif
98,kulit jerawat tipe kulit sensitif kulit kerut tipe kulit minyak moga cocok serum packing rapi,positif
99,kulit kerut tipe kulit kering,negatif
100,kirim cepat barang sesuai gambar,positif
101,masyaallah harga diskon terima kasih seller,positif
102,kulit glowing suka banget masker avoskin,positif
103,tipe kulit normal moga cocok coba produk,positif
104,tipe kulit minyak kulit jerawat kulit pori kulit kerut,negatif
105,bagus produk nya terima kasih,positif
106,cocok kulit wajah melembabkan ed beli stok mumpung diskon,positif
107,tipe kulit normal alhamdulillah cocok sajja thank you for everyone hulu hilir thanks lot kasih diskon moga laris sukses ya love all,positif
108,tipe kulit minyak cocok,positif
109,cocok pakai alpha arbutin coba tipe kulit sensitif kulit pori,positif
110,toner exfo mantap,positif
111,repurchase sekian kali harga bawah mantap avo,positif
112,pesan terima emas aman terima kasih,positif
113,tekstur nya ringan gampang blend nyaman kulit acneprone oily parah moga cocok ubah biar next order tipe kulit sensitif kulit jerawat kulit pori tipe kulit minyak tipe kulit kering,negatif
114,coba moga cocok terima kasih seller fan tokped tipe kulit kering,positif
115,ingredients nya bikin penasaran pengin coba repurchase produk avo cocok aaaa,positif
116,kirim banget tolong ganti kurir,netral
117,emas oke moga cocok,positif
118,ok moga cocok,positif
119,bintang pertama dikirimin expired beli harga normal beli chat beda harga normal sale sale expired normal expired return ganti expired proses return nya ribet banget expedisi sicepat pick up maksud teliti buang urus return nya moga depan teliti ya packing aman bagus admin responsive thank you,positif
120,packing aman expired,positif
121,huhu serum nya cepat banget kirim beli harga diskon pakai moga cocok muka ku tipe kulit normal,positif
122,tipe kulit sensitif,negatif
