,Review,Review_norm
0,it  beautiful package bintang buat safety nya,itu  beautiful package bintang buat safety nya
1,tipe kulitku kering,tipe kulitku kering
2,pengiriman agak lama karena beda provinsi tapi gapapa packingnya aman banget semoga cocok dan bisa memperbaiki kulit aku tipe kulitku berminyak,pengiriman agak lama karena beda provinsi tapi gapapa packingnya aman banget semoga cocok dan bisa memperbaiki kulit aku tipe kulitku berminyak
3,top,top
4,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif
5,exp,exp
6,no review found,no review found
7,pertama banget dulu sih beli bagus bgt ya di muka waktu itu kemasan masih biru mungkin sktr tahun yang lalu masih belum viral perskincare an semenjak hamil ud stop pake produk bayi aja ini mau coba lagi karena kangen sensasinya waktu make dulu emang feelnya beda tp smga ngaruh di jerawat yg suka muncul tiba tiba,pertama banget dulu sih beli bagus banget ya di muka waktu itu kemasan masih biru mungkin sekitar tahun yang lalu masih belum viral perskincare an semenjak hamil sudah stop pakai produk bayi saja ini mau coba lagi karena kangen sensasinya waktu memakai dulu memang feelnya beda tapi semoga ngaruh di jerawat yang suka muncul tiba tiba
8,tipe kulitku berminyak,tipe kulitku berminyak
9,tipe kulitku berminyak masalah kulitku pori besar,tipe kulitku berminyak masalah kulitku pori besar
10,tipe kulitku berminyak tipe kulitku normal tipe kulitku kering tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif,tipe kulitku berminyak tipe kulitku normal tipe kulitku kering tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif
11,barang sesuai pesanan,barang sesuai pesanan
12,pengiriman oke saran untuk facial wash nya mungkin perlu ditambahkan fragrance biar baunya lebih enak soalnya baunya kurang begitu nyama digunakan,pengiriman oke saran untuk facial wash nya mungkin perlu ditambahkan fragrance biar baunya lebih enak soalnya baunya kurang begitu nyaman digunakan
13,moga cocok soalnya dulu cocok bgt pake ini,moga cocok soalnya dulu cocok banget pakai ini
14,pengiriman cepat mantabbb,pengiriman cepat mantap
15,alhamdulillah udh smp barangnya dan pengemasan barangnya juga ok thank you kurir sicepat team avoskin,alhamdulillah sudah sampai barangnya dan pengemasan barangnya juga ok thank you kurir sicepat team avoskin
16,bahannya gampang menyerap,bahannya gampang menyerap
17,bagussss,bagus
18,baguusssssss,bagus
19,okelahhhhhhhh,oke
20,dapat gratis mini pouch makasih semoga cocok,dapat gratis mini pouch terima kasih semoga cocok
21,alhamdulillah barangnya udah sampai semoga ccok dan selau dpt harga diskon yess,alhamdulillah barangnya sudah sampai semoga cocok dan selau dapat harga diskon yes
22,cocok sama produknya,cocok sama produknya
23,sudah berkali kali beli di toko official ini dan setiap kali pembelian selalu amanah thx,sudah berkali kali beli di toko official ini dan setiap kali pembelian selalu amanah thanks
24,barang nya oke,barang nya oke
25,tipe kulitku berminyak tipe kulitku sensitif masalah kulitku pori besar,tipe kulitku berminyak tipe kulitku sensitif masalah kulitku pori besar
26,tipe kulitku berminyak tipe kulitku sensitif,tipe kulitku berminyak tipe kulitku sensitif
27,so far so good for daily use,so far so good for daily use
28,tipe kulitku kombinasi aku baru pake  dan belum keliatan hasilnya tapi semoga cocok ya,tipe kulitku kombinasi aku baru pakai  dan belum kelihatan hasilnya tapi semoga cocok ya
29,tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku pori besar
30,belum dicoba semoga cocok di kulit,belum dicoba semoga cocok di kulit
31,jd kemarin nyobain yg kecil rupanya cocok teksturnya ringan mudah di blend tdk whitecast ga oily setelah di apply lama bagus bgt semoga sering diskon ,jadi kemarin mencoba yang kecil rupanya cocok teksturnya ringan mudah di blend tidak whitecast enggak oily setelah di apply lama bagus banget semoga sering diskon 
32,semoga manjur buat exfoliasi wajahku,semoga manjur buat exfoliasi wajahku
33,doesn  smell as nice as other brands very chemical,doesn  smell as nice as other brands very chemical
34,tipe kulitku normal,tipe kulitku normal
35,akhirnya nemu serum yg cocok,akhirnya nemu serum yang cocok
36,tipe kulitku kering ternyata besar juga thx seller dan tokped,tipe kulitku kering ternyata besar juga thanks seller dan tokped
37,good product thanks seller,good product thanks seller
38,terima kasih banyak barang sudah diterima,terima kasih banyak barang sudah diterima
39,produk sudah sampai tidak ada yang bocor apply di muka berasa lembap,produk sudah sampai tidak ada yang bocor apply di muka berasa lembab
40,keluarin sunscreen spf dong avo team tapi formulasinya persisi kaya tgs ini pleasee buat yang tipe kulitnya mudah jerawat kaya aku ini,keluarkan sunscreen spf dong avo team tapi formulasinya persis kayak tgs ini please buat yang tipe kulitnya mudah jerawat kayak aku ini
41,paket rapih pengiriman cepat seblmnya pakai varian ybs dan cocok smoga cocok yg varian ini,paket rapi pengiriman cepat seblmnya pakai varian ybs dan cocok semoga cocok yang varian ini
42,baru nyoba blom tau hasilnya,baru mencoba belum tau hasilnya
43,yeey dah sampai semoga cocok di kulit aku biar menetap di produk avoskin,yeey deh sampai semoga cocok di kulit aku biar menetap di produk avoskin
44,barang sampe dengan selamat packaging bagus sesuai orderan,barang sampai dengan selamat packaging bagus sesuai orderan
45,barang sudah sampai belum mencoba yang ini semoga cocok,barang sudah sampai belum mencoba yang ini semoga cocok
46,always the best sih ini si avoo thanks avo cucok  kece hasilnya,always the best sih ini sih avoo thanks avo cocok  kece hasilnya
47,tipe kulitku berminyak tipe kulitku kombinasi tipe kulitku kering tipe kulitku normal tipe kulitku sensitif masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar,tipe kulitku berminyak tipe kulitku kombinasi tipe kulitku kering tipe kulitku normal tipe kulitku sensitif masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar
48,tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku pori besar,tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku pori besar
49,pembelian kesekian kalinya,pembelian kesekian kalinya
50,rugi banget bener nyesel beli ini toner padahal lg coba berpaling dr merk lain malah dibikin kecewa sm avoskin beli ml dikirim cuma ml aaaaaa chat minta solusi malah disuruh tunggu sampe senin bikin nambah emosiiii review dan rating akan sy ganti kalau senin ada solusi ganti rugi,rugi banget benar menyesal beli ini toner padahal lagi coba berpaling dari merk lain malah dibikin kecewa sama avoskin beli ml dikirim cuma ml aaaaaa chat meminta solusi malah disuruh tunggu sampai senin bikin menambah emosi review dan rating akan saya ganti kalau senin ada solusi ganti rugi
51,alhamdulillah seller sangat komunikatif gercep saya baru coba produk ini semoga cocok aamiin,alhamdulillah seller sangat komunikatif gercep saya baru coba produk ini semoga cocok amin
52,tipe kulitku normal to oily pori gede sama komedo di idung semoga bisa bantu ya xixi,tipe kulitku normal tapi oily pori gede sama komedo di hidung semoga bisa bantu ya xixi
53,thankyouuu sampe dengan selamat,thank you sampai dengan selamat
54,masalah kulitku jerawat,masalah kulitku jerawat
55,tipe kulitku kombinasi,tipe kulitku kombinasi
