,Review,Review_norm,review_tokens,review_tokens_SR,review_tokens_stemmed
0,sipp,sip,['sip'],['sip'],['sip']
1,proses orderan san pengirimannya sesuai estimasi pengemasannya juga aman banget karena kulitku lagi cukup sensitif dan cukup sering pakai makeup jadi mau coba sunscreen spray ini yg cukup menarik karena ada cooling sensationnya  semoga cocok thank you azarine,proses orderan san pengirimannya sesuai estimasi pengemasannya juga aman banget karena kulitku lagi cukup sensitif dan cukup sering pakai makeup jadi mau coba sunscreen spray ini yang cukup menarik karena ada cooling sensationnya  semoga cocok thank you azarine,"['proses', 'orderan', 'san', 'pengirimannya', 'sesuai', 'estimasi', 'pengemasannya', 'juga', 'aman', 'banget', 'karena', 'kulitku', 'lagi', 'cukup', 'sensitif', 'dan', 'cukup', 'sering', 'pakai', 'makeup', 'jadi', 'mau', 'coba', 'sunscreen', 'spray', 'ini', 'yang', 'cukup', 'menarik', 'karena', 'ada', 'cooling', 'sensationnya', 'semoga', 'cocok', 'thank', 'you', 'azarine']","['proses', 'orderan', 'san', 'pengirimannya', 'sesuai', 'estimasi', 'pengemasannya', 'aman', 'banget', 'kulitku', 'cukup', 'sensitif', 'cukup', 'sering', 'pakai', 'makeup', 'jadi', 'mau', 'coba', 'sunscreen', 'spray', 'cukup', 'menarik', 'cooling', 'sensationnya', 'semoga', 'cocok', 'thank', 'you', 'azarine']","['proses', 'order', 'san', 'kirim', 'sesuai', 'estimasi', 'emas', 'aman', 'banget', 'kulit', 'cukup', 'sensitif', 'cukup', 'sering', 'pakai', 'makeup', 'jadi', 'mau', 'coba', 'sunscreen', 'spray', 'cukup', 'tarik', 'cooling', 'sensationnya', 'moga', 'cocok', 'thank', 'you', 'azarine']"
2,terima kasih sudah diterima dengan baik,terima kasih sudah diterima dengan baik,"['terima', 'kasih', 'sudah', 'diterima', 'dengan', 'baik']","['terima', 'kasih', 'diterima', 'baik']","['terima', 'kasih', 'terima', 'baik']"
3,tipe kulitku kombinasi tipe kulitku normal tipe kulitku kering tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku kombinasi tipe kulitku normal tipe kulitku kering tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,"['tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulit', 'kombinasi', 'tipe', 'kulit', 'normal', 'tipe', 'kulit', 'kering', 'tipe', 'kulit', 'minyak', 'masalah', 'kulit', 'jerawat', 'masalah', 'kulit', 'pori', 'besar']"
4,ini kurang oke menurut sy dipake ga bikin bibir lembab tp malah jd kering dan kasar belom lg warnanya merah bgt jd menor gt,ini kurang oke menurut saya dipakai enggak bikin bibir lembab tapi malah jadi kering dan kasar belum lagi warnanya merah banget jadi menor begitu,"['ini', 'kurang', 'oke', 'menurut', 'saya', 'dipakai', 'enggak', 'bikin', 'bibir', 'lembab', 'tapi', 'malah', 'jadi', 'kering', 'dan', 'kasar', 'belum', 'lagi', 'warnanya', 'merah', 'banget', 'jadi', 'menor', 'begitu']","['kurang', 'oke', 'dipakai', 'enggak', 'bikin', 'bibir', 'lembab', 'malah', 'jadi', 'kering', 'kasar', 'warnanya', 'merah', 'banget', 'jadi', 'menor']","['kurang', 'oke', 'pakai', 'enggak', 'bikin', 'bibir', 'lembab', 'malah', 'jadi', 'kering', 'kasar', 'warna', 'merah', 'banget', 'jadi', 'menor']"
5,tipe kulitku berminyak,tipe kulitku berminyak,"['tipe', 'kulitku', 'berminyak']","['tipe', 'kulitku', 'berminyak']","['tipe', 'kulit', 'minyak']"
6,tipe kulitku sensitif masalah kulitku jerawat,tipe kulitku sensitif masalah kulitku jerawat,"['tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat']","['tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat']","['tipe', 'kulit', 'sensitif', 'masalah', 'kulit', 'jerawat']"
7,gak approved untuk sawo matang bibir hitam krn kliatan hitam bgt,enggak approved untuk sawo matang bibir hitam karena kelihatan hitam banget,"['enggak', 'approved', 'untuk', 'sawo', 'matang', 'bibir', 'hitam', 'karena', 'kelihatan', 'hitam', 'banget']","['enggak', 'approved', 'sawo', 'matang', 'bibir', 'hitam', 'kelihatan', 'hitam', 'banget']","['enggak', 'approved', 'sawo', 'matang', 'bibir', 'hitam', 'lihat', 'hitam', 'banget']"
8,setelah dicoba takut gak cocok ternyata cocok di kulit saya padahal kulit saya sensitif top banget ramah di kantong,setelah dicoba takut enggak cocok ternyata cocok di kulit saya padahal kulit saya sensitif top banget ramah di kantong,"['setelah', 'dicoba', 'takut', 'enggak', 'cocok', 'ternyata', 'cocok', 'di', 'kulit', 'saya', 'padahal', 'kulit', 'saya', 'sensitif', 'top', 'banget', 'ramah', 'di', 'kantong']","['dicoba', 'takut', 'enggak', 'cocok', 'ternyata', 'cocok', 'kulit', 'padahal', 'kulit', 'sensitif', 'top', 'banget', 'ramah', 'kantong']","['coba', 'takut', 'enggak', 'cocok', 'nyata', 'cocok', 'kulit', 'padahal', 'kulit', 'sensitif', 'top', 'banget', 'ramah', 'kantong']"
9,selalu cocok sama produk azarine top dech,selalu cocok sama produk azarine top deh,"['selalu', 'cocok', 'sama', 'produk', 'azarine', 'top', 'deh']","['selalu', 'cocok', 'sama', 'produk', 'azarine', 'top', 'deh']","['selalu', 'cocok', 'sama', 'produk', 'azarine', 'top', 'deh']"
10,cocok banget kulit jadi lembab lebih fresh,cocok banget kulit jadi lembab lebih fresh,"['cocok', 'banget', 'kulit', 'jadi', 'lembab', 'lebih', 'fresh']","['cocok', 'banget', 'kulit', 'jadi', 'lembab', 'lebih', 'fresh']","['cocok', 'banget', 'kulit', 'jadi', 'lembab', 'lebih', 'fresh']"
11,selalu cocok dengan produk azarine,selalu cocok dengan produk azarine,"['selalu', 'cocok', 'dengan', 'produk', 'azarine']","['selalu', 'cocok', 'produk', 'azarine']","['selalu', 'cocok', 'produk', 'azarine']"
13,tipe kulitku normal,tipe kulitku normal,"['tipe', 'kulitku', 'normal']","['tipe', 'kulitku', 'normal']","['tipe', 'kulit', 'normal']"
14,cepet banget nyerapnya cocok buat kulit berminyak jerawatan ga bikin lengket suncreen terfavorit,cepat banget nyerapnya cocok buat kulit berminyak jerawatan enggak bikin lengket suncreen terfavorit,"['cepat', 'banget', 'nyerapnya', 'cocok', 'buat', 'kulit', 'berminyak', 'jerawatan', 'enggak', 'bikin', 'lengket', 'suncreen', 'terfavorit']","['cepat', 'banget', 'nyerapnya', 'cocok', 'buat', 'kulit', 'berminyak', 'jerawatan', 'enggak', 'bikin', 'lengket', 'suncreen', 'terfavorit']","['cepat', 'banget', 'nyerapnya', 'cocok', 'buat', 'kulit', 'minyak', 'jerawat', 'enggak', 'bikin', 'lengket', 'suncreen', 'favorit']"
15,ringan,ringan,['ringan'],['ringan'],['ringan']
16,bahannya ringan mufah dserap kulit terasa ringan dan wanginya enak bagus untuk menghadap uv  dan uv  tipe kulitku kombinasi,bahannya ringan mufah dserap kulit terasa ringan dan wanginya enak bagus untuk menghadap uv  dan uv  tipe kulitku kombinasi,"['bahannya', 'ringan', 'mufah', 'dserap', 'kulit', 'terasa', 'ringan', 'dan', 'wanginya', 'enak', 'bagus', 'untuk', 'menghadap', 'uv', 'dan', 'uv', 'tipe', 'kulitku', 'kombinasi']","['bahannya', 'ringan', 'mufah', 'dserap', 'kulit', 'terasa', 'ringan', 'wanginya', 'enak', 'bagus', 'menghadap', 'uv', 'uv', 'tipe', 'kulitku', 'kombinasi']","['bahan', 'ringan', 'mufah', 'dserap', 'kulit', 'asa', 'ringan', 'wangi', 'enak', 'bagus', 'hadap', 'uv', 'uv', 'tipe', 'kulit', 'kombinasi']"
17,barang sesuai deskripsi,barang sesuai deskripsi,"['barang', 'sesuai', 'deskripsi']","['barang', 'sesuai', 'deskripsi']","['barang', 'sesuai', 'deskripsi']"
18,pengiriman cepat penjual ramah produk ori,pengiriman cepat penjual ramah produk orisinal,"['pengiriman', 'cepat', 'penjual', 'ramah', 'produk', 'orisinal']","['pengiriman', 'cepat', 'penjual', 'ramah', 'produk', 'orisinal']","['kirim', 'cepat', 'jual', 'ramah', 'produk', 'orisinal']"
19,tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku pori besar,"['tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulit', 'kombinasi', 'masalah', 'kulit', 'jerawat', 'masalah', 'kulit', 'pori', 'besar']"
20,teksturnya ringan dan gampang menyerap tapi lama kelamaan kulit jadi rada berminyak di area  zone,teksturnya ringan dan gampang menyerap tapi lama kelamaan kulit jadi rada berminyak di area  zone,"['teksturnya', 'ringan', 'dan', 'gampang', 'menyerap', 'tapi', 'lama', 'kelamaan', 'kulit', 'jadi', 'rada', 'berminyak', 'di', 'area', 'zone']","['teksturnya', 'ringan', 'gampang', 'menyerap', 'lama', 'kelamaan', 'kulit', 'jadi', 'rada', 'berminyak', 'area', 'zone']","['tekstur', 'ringan', 'gampang', 'serap', 'lama', 'lama', 'kulit', 'jadi', 'rada', 'minyak', 'area', 'zone']"
21,packet aman packing rapih cuma kurir expedisinya aja blegug ditungguin dr siang ga nyampe  sore kita ada urusan dadakan dia nyampe kaga ngabarin pas saya cek dr tokped termyata packet tiba di tujuan padahal di rmh ga ada org entah ditaro mana sm kurirnya saya buru plg termyata paketnya diselipin di kusen pintu kacau sih bukannya kontak saya dl gt maen diselip aja gmn coba klo ada pemulung kira itu kotak kardus sampah bisa ilang paket saya,packet aman packing rapi cuma kurir expedisinya saja blegug ditungguin dari siang enggak sampai  sore kita ada urusan dadakan dia sampai kagak ngabarin pas saya cek dari tokped termyata packet tiba di tujuan padahal di rumah enggak ada orang entah ditaro mana sama kurirnya saya buru pulang termyata paketnya diselipin di kusen pintu kacau sih bukannya kontak saya dulu begitu main diselip saja bagaimana coba kalo ada pemulung kira itu kotak kardus sampah bisa hilang paket saya,"['packet', 'aman', 'packing', 'rapi', 'cuma', 'kurir', 'expedisinya', 'saja', 'blegug', 'ditungguin', 'dari', 'siang', 'enggak', 'sampai', 'sore', 'kita', 'ada', 'urusan', 'dadakan', 'dia', 'sampai', 'kagak', 'ngabarin', 'pas', 'saya', 'cek', 'dari', 'tokped', 'termyata', 'packet', 'tiba', 'di', 'tujuan', 'padahal', 'di', 'rumah', 'enggak', 'ada', 'orang', 'entah', 'ditaro', 'mana', 'sama', 'kurirnya', 'saya', 'buru', 'pulang', 'termyata', 'paketnya', 'diselipin', 'di', 'kusen', 'pintu', 'kacau', 'sih', 'bukannya', 'kontak', 'saya', 'dulu', 'begitu', 'main', 'diselip', 'saja', 'bagaimana', 'coba', 'kalo', 'ada', 'pemulung', 'kira', 'itu', 'kotak', 'kardus', 'sampah', 'bisa', 'hilang', 'paket', 'saya']","['packet', 'aman', 'packing', 'rapi', 'cuma', 'kurir', 'expedisinya', 'blegug', 'ditungguin', 'siang', 'enggak', 'sore', 'urusan', 'dadakan', 'kagak', 'ngabarin', 'pas', 'cek', 'tokped', 'termyata', 'packet', 'tiba', 'tujuan', 'padahal', 'rumah', 'enggak', 'orang', 'entah', 'ditaro', 'mana', 'sama', 'kurirnya', 'buru', 'pulang', 'termyata', 'paketnya', 'diselipin', 'kusen', 'pintu', 'kacau', 'sih', 'bukannya', 'kontak', 'dulu', 'main', 'diselip', 'bagaimana', 'coba', 'kalo', 'pemulung', 'kira', 'kotak', 'kardus', 'sampah', 'hilang', 'paket']","['packet', 'aman', 'packing', 'rapi', 'cuma', 'kurir', 'expedisinya', 'blegug', 'ditungguin', 'siang', 'enggak', 'sore', 'urus', 'dada', 'kagak', 'ngabarin', 'pas', 'cek', 'tokped', 'termyata', 'packet', 'tiba', 'tuju', 'padahal', 'rumah', 'enggak', 'orang', 'entah', 'ditaro', 'mana', 'sama', 'kurir', 'buru', 'pulang', 'termyata', 'paket', 'diselipin', 'kusen', 'pintu', 'kacau', 'sih', 'bukan', 'kontak', 'dulu', 'main', 'selip', 'bagaimana', 'coba', 'kalo', 'pulung', 'kira', 'kotak', 'kardus', 'sampah', 'hilang', 'paket']"
22,alhamdulillah cocok pembelian kedua thx ,alhamdulillah cocok pembelian kedua thanks ,"['alhamdulillah', 'cocok', 'pembelian', 'kedua', 'thanks']","['alhamdulillah', 'cocok', 'pembelian', 'kedua', 'thanks']","['alhamdulillah', 'cocok', 'beli', 'dua', 'thanks']"
