,Review,Review_norm
0,sipp,sip
1,proses orderan san pengirimannya sesuai estimasi pengemasannya juga aman banget karena kulitku lagi cukup sensitif dan cukup sering pakai makeup jadi mau coba sunscreen spray ini yg cukup menarik karena ada cooling sensationnya  semoga cocok thank you azarine,proses orderan san pengirimannya sesuai estimasi pengemasannya juga aman banget karena kulitku lagi cukup sensitif dan cukup sering pakai makeup jadi mau coba sunscreen spray ini yang cukup menarik karena ada cooling sensationnya  semoga cocok thank you azarine
2,terima kasih sudah diterima dengan baik,terima kasih sudah diterima dengan baik
3,tipe kulitku kombinasi tipe kulitku normal tipe kulitku kering tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku kombinasi tipe kulitku normal tipe kulitku kering tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar
4,ini kurang oke menurut sy dipake ga bikin bibir lembab tp malah jd kering dan kasar belom lg warnanya merah bgt jd menor gt,ini kurang oke menurut saya dipakai enggak bikin bibir lembab tapi malah jadi kering dan kasar belum lagi warnanya merah banget jadi menor begitu
5,tipe kulitku berminyak,tipe kulitku berminyak
6,tipe kulitku sensitif masalah kulitku jerawat,tipe kulitku sensitif masalah kulitku jerawat
7,gak approved untuk sawo matang bibir hitam krn kliatan hitam bgt,enggak approved untuk sawo matang bibir hitam karena kelihatan hitam banget
8,setelah dicoba takut gak cocok ternyata cocok di kulit saya padahal kulit saya sensitif top banget ramah di kantong,setelah dicoba takut enggak cocok ternyata cocok di kulit saya padahal kulit saya sensitif top banget ramah di kantong
9,selalu cocok sama produk azarine top dech,selalu cocok sama produk azarine top deh
10,cocok banget kulit jadi lembab lebih fresh,cocok banget kulit jadi lembab lebih fresh
11,selalu cocok dengan produk azarine,selalu cocok dengan produk azarine
12,ok,ok
13,tipe kulitku normal,tipe kulitku normal
14,cepet banget nyerapnya cocok buat kulit berminyak jerawatan ga bikin lengket suncreen terfavorit,cepat banget nyerapnya cocok buat kulit berminyak jerawatan enggak bikin lengket suncreen terfavorit
15,ringan,ringan
16,bahannya ringan mufah dserap kulit terasa ringan dan wanginya enak bagus untuk menghadap uv  dan uv  tipe kulitku kombinasi,bahannya ringan mufah dserap kulit terasa ringan dan wanginya enak bagus untuk menghadap uv  dan uv  tipe kulitku kombinasi
17,barang sesuai deskripsi,barang sesuai deskripsi
18,pengiriman cepat penjual ramah produk ori,pengiriman cepat penjual ramah produk orisinal
19,tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku pori besar
20,teksturnya ringan dan gampang menyerap tapi lama kelamaan kulit jadi rada berminyak di area  zone,teksturnya ringan dan gampang menyerap tapi lama kelamaan kulit jadi rada berminyak di area  zone
21,packet aman packing rapih cuma kurir expedisinya aja blegug ditungguin dr siang ga nyampe  sore kita ada urusan dadakan dia nyampe kaga ngabarin pas saya cek dr tokped termyata packet tiba di tujuan padahal di rmh ga ada org entah ditaro mana sm kurirnya saya buru plg termyata paketnya diselipin di kusen pintu kacau sih bukannya kontak saya dl gt maen diselip aja gmn coba klo ada pemulung kira itu kotak kardus sampah bisa ilang paket saya,packet aman packing rapi cuma kurir expedisinya saja blegug ditungguin dari siang enggak sampai  sore kita ada urusan dadakan dia sampai kagak ngabarin pas saya cek dari tokped termyata packet tiba di tujuan padahal di rumah enggak ada orang entah ditaro mana sama kurirnya saya buru pulang termyata paketnya diselipin di kusen pintu kacau sih bukannya kontak saya dulu begitu main diselip saja bagaimana coba kalo ada pemulung kira itu kotak kardus sampah bisa hilang paket saya
22,alhamdulillah cocok pembelian kedua thx ,alhamdulillah cocok pembelian kedua thanks 
23,semua productnya kusuka kalo beli satuan total item rb ku cuma beli rb dapet cashback rb syenangnya masih dapet free gift pouch kaca  card,semua productnya kusuka kalo beli satuan total item ribu ku cuma beli ribu dapat cashback ribu syenangnya masih dapat free gift pouch kaca  card
24,gemass warnanya cantikk,gemas warnanya cantik
25,repeat order,repeat order
26,masalah kulitku pori besar,masalah kulitku pori besar
27,ini beda nih dari pertama beli  first time nyobain jatuh cinta bgt waktu itu pilih shade strawberrypine sama raspberry muffin trus ini pembelian kedua ngerasa ini formulanya beda bgt ini lebih berminyak tapi short lasting  masa iya abis minum aer ilang lah coba itu rugi dong udahlah aku pindah haluan aja byeee,ini beda nih dari pertama beli  first time mencoba jatuh cinta banget waktu itu pilih shade strawberrypine sama raspberry muffin terus ini pembelian kedua merasa ini formulanya beda banget ini lebih berminyak tapi short lasting  masa iya habis minum air hilang lah coba itu rugi dong sudahlah aku pindah haluan saja byeee
28,tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar overall worth it,tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar overall worth itu
29,kecepatan pengiriman baik ada bubble warp,kecepatan pengiriman baik ada bubble warp
30,tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar
31,dpt harga ceban yay blm dicoba,dapat harga ceban yay belum dicoba
32,pembelian kesekian kalinya cocok di muka apalagi klo pas jerawatan kulitnya tetep bs bnafas,pembelian kesekian kalinya cocok di muka apalagi kalo pas jerawatan kulitnya tetap bisa bnafas
33,ternyata dapet ya baru pertama kali semoga cocok,ternyata dapat ya baru pertama kali semoga cocok
34,mudahan cocok terima kasih,mudahan cocok terima kasih
35,udh sering beli ini dan selalu cocok,sudah sering beli ini dan selalu cocok
36,barang datang dengan selamat walau agak lama datangnya,barang datang dengan selamat walau agak lama datangnya
37,packing nya bagus bgt utk cream dg hrg segitu tekstur ringan cepet meresap di kulit ga ada bau menyengat samsek semoga cocok di kulit aku yg kering tp bruntusan tq,packing nya bagus banget untuk cream dengan harga segitu tekstur ringan cepat meresap di kulit enggak ada bau menyengat sama sekali semoga cocok di kulit aku yang kering tapi bruntusan terima kasih
38,terima kasih,terima kasih
39,bahannya ringan mudah menyerap cocok di kulit aku yg berjerawat gak bikin breakout the best pokoknya,bahannya ringan mudah menyerap cocok di kulit aku yang berjerawat enggak bikin breakout the best pokoknya
40,tipe kulitku kombinasi masalah kulitku jerawat,tipe kulitku kombinasi masalah kulitku jerawat
41,tipe kulitku kombinasi,tipe kulitku kombinasi
42,tipe kulitku berminyak masalah kulitku pori besar original terimakasih,tipe kulitku berminyak masalah kulitku pori besar original terima kasih
43,bahannya ringan cocok digunakan,bahannya ringan cocok digunakan
44,tipe kulitku berminyak baru mau nyoba makai ini tapi sebelumnya nyoba punya temen cocokkk,tipe kulitku berminyak baru mau mencoba makai ini tapi sebelumnya mencoba punya teman cocok
45,barang datang sesuai packing nya aman serta pengiriman cepat,barang datang sesuai packing nya aman serta pengiriman cepat
46,berasa cerah jika sudah pakai cuman di aku jadi bkin kering jadi mesti pake pelembab muka lg,berasa cerah jika sudah pakai cuman di aku jadi bikin kering jadi mesti pakai pelembab muka lagi
47,udah beberapa tahun pake emang cocok karena ga white cast gitu nyaman ringan juga thanks seller tipe kulitku kombinasi,sudah beberapa tahun pakai memang cocok karena enggak white cast begitu nyaman ringan juga thanks seller tipe kulitku kombinasi
48,warnanya cantik bangettt,warnanya cantik banget
49,cocok di tipe kulitku kombinasi,cocok di tipe kulitku kombinasi
50,cocok sama yg satu ini,cocok sama yang satu ini
51,mantap barang sesuai,mantap barang sesuai
52,produk oke,produk oke
53,tipe kulitku kering,tipe kulitku kering
54,pengepakan bagus sampai dg selamat respon cepat,pengepakan bagus sampai dengan selamat respon cepat
55,terimakasih,terima kasih
56,tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar
57,puas banget langganan disini,puas banget langganan disini
58,selalu puas belanja disini recommended seller banget,selalu puas belanja disini recommended seller banget
59,ringan dibibir pas sudah kering ngeset  bibir,ringan dibibir pas sudah kering ngeset  bibir
60,tipe kulitku berminyak tipe kulitku kering tipe kulitku kombinasi tipe kulitku normal tipe kulitku sensitif masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar,tipe kulitku berminyak tipe kulitku kering tipe kulitku kombinasi tipe kulitku normal tipe kulitku sensitif masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar
