,Review
0,sipp
1,proses orderan san pengirimannya sesuai estimasi pengemasannya juga aman banget karena kulitku lagi cukup sensitif dan cukup sering pakai makeup jadi mau coba sunscreen spray ini yg cukup menarik karena ada cooling sensationnya  semoga cocok thank you azarine
2,terima kasih sudah diterima dengan baik
3,tipe kulitku kombinasi tipe kulitku normal tipe kulitku kering tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar
4,ini kurang oke menurut sy dipake ga bikin bibir lembab tp malah jd kering dan kasar belom lg warnanya merah bgt jd menor gt
5,tipe kulitku berminyak
6,tipe kulitku sensitif masalah kulitku jerawat
7,gak approved untuk sawo matang bibir hitam krn kliatan hitam bgt
8,setelah dicoba takut gak cocok ternyata cocok di kulit saya padahal kulit saya sensitif top banget ramah di kantong
9,selalu cocok sama produk azarine top dech
10,cocok banget kulit jadi lembab lebih fresh
11,selalu cocok dengan produk azarine
12,ok
13,tipe kulitku normal
14,cepet banget nyerapnya cocok buat kulit berminyak jerawatan ga bikin lengket suncreen terfavorit
15,ringan
16,bahannya ringan mufah dserap kulit terasa ringan dan wanginya enak bagus untuk menghadap uv  dan uv  tipe kulitku kombinasi
17,barang sesuai deskripsi
18,pengiriman cepat penjual ramah produk ori
19,tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku pori besar
20,teksturnya ringan dan gampang menyerap tapi lama kelamaan kulit jadi rada berminyak di area  zone
21,packet aman packing rapih cuma kurir expedisinya aja blegug ditungguin dr siang ga nyampe  sore kita ada urusan dadakan dia nyampe kaga ngabarin pas saya cek dr tokped termyata packet tiba di tujuan padahal di rmh ga ada org entah ditaro mana sm kurirnya saya buru plg termyata paketnya diselipin di kusen pintu kacau sih bukannya kontak saya dl gt maen diselip aja gmn coba klo ada pemulung kira itu kotak kardus sampah bisa ilang paket saya
22,alhamdulillah cocok pembelian kedua thx 
23,semua productnya kusuka kalo beli satuan total item rb ku cuma beli rb dapet cashback rb syenangnya masih dapet free gift pouch kaca  card
24,gemass warnanya cantikk
25,repeat order
26,masalah kulitku pori besar
27,ini beda nih dari pertama beli  first time nyobain jatuh cinta bgt waktu itu pilih shade strawberrypine sama raspberry muffin trus ini pembelian kedua ngerasa ini formulanya beda bgt ini lebih berminyak tapi short lasting  masa iya abis minum aer ilang lah coba itu rugi dong udahlah aku pindah haluan aja byeee
28,tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar overall worth it
29,kecepatan pengiriman baik ada bubble warp
30,tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar
31,dpt harga ceban yay blm dicoba
32,pembelian kesekian kalinya cocok di muka apalagi klo pas jerawatan kulitnya tetep bs bnafas
33,ternyata dapet ya baru pertama kali semoga cocok
34,mudahan cocok terima kasih
35,udh sering beli ini dan selalu cocok
36,barang datang dengan selamat walau agak lama datangnya
37,packing nya bagus bgt utk cream dg hrg segitu tekstur ringan cepet meresap di kulit ga ada bau menyengat samsek semoga cocok di kulit aku yg kering tp bruntusan tq
38,terima kasih
39,bahannya ringan mudah menyerap cocok di kulit aku yg berjerawat gak bikin breakout the best pokoknya
40,tipe kulitku kombinasi masalah kulitku jerawat
41,tipe kulitku kombinasi
42,tipe kulitku berminyak masalah kulitku pori besar original terimakasih
43,bahannya ringan cocok digunakan
44,tipe kulitku berminyak baru mau nyoba makai ini tapi sebelumnya nyoba punya temen cocokkk
45,barang datang sesuai packing nya aman serta pengiriman cepat
46,berasa cerah jika sudah pakai cuman di aku jadi bkin kering jadi mesti pake pelembab muka lg
47,udah beberapa tahun pake emang cocok karena ga white cast gitu nyaman ringan juga thanks seller tipe kulitku kombinasi
48,warnanya cantik bangettt
49,cocok di tipe kulitku kombinasi
50,cocok sama yg satu ini
51,mantap barang sesuai
52,produk oke
53,tipe kulitku kering
54,pengepakan bagus sampai dg selamat respon cepat
55,terimakasih
56,tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar
57,puas banget langganan disini
58,selalu puas belanja disini recommended seller banget
59,ringan dibibir pas sudah kering ngeset  bibir
60,tipe kulitku berminyak tipe kulitku kering tipe kulitku kombinasi tipe kulitku normal tipe kulitku sensitif masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar
61,ceept bangett nyampenya belinya pake voucher beli lokal dapet cashback gopay lagii sudah favorit banget sunscreen azarine ini
62,barang sesuai deskripsi pengiriman cepat
63,good good udh koleksi semua varian nyaa suka semuaaa
64,lembab banget warnany juga bagus cocok untuk diombre atau dipake satuan yang cream puff kalau dipake satuan lama bakal tinted agak pinkish dan jadi kaya warna bibir natural baguss bgt tapi sebelum pake makser harus dibiarin bener ngeset dulu biar gak terlalu banyak transfer kemana overall sangat puas sama produknya
65,terima kasih banyak overall great sesuai ekspektasi keep up the good work
66,cocok sama serumnya skrg mau nyobain bundle ini biar bisa cobain ssnya jggg murah bgt ini jadinya
67,tipe kulitku kombinasi masalah kulitku kerutan
68,entah udah berapa kali repurchase azarine hydramax  ini sesuka ituuu terima kasih azarine udah nyiptain produk iniii butuh ukuran liter
69,bagus banget
70,good product
71,tipe kulitku berminyak tipe kulitku kombinasi tipe kulitku sensitif
72,tipe kulitku sensitif tipe kulitku kering belum terlalu kelihatan efeknya sudah habis botol
73,buat yang bingun pilih mana kulit sawo matang cenderung kulit warm olive tone cobain combo rusberry muffin mantul bgt muka jadi cerah buat ombre jg oke banget tapi ga cocok dipake sendiri masih bisa nego pake sendiri
74,shade ini warna nya bagus cocok buat anak muda ga gampang ilang wangi packaging nya lucu harga affordable
75,tipe kulitku kering masalah kulitku pori besar
76,tipe kulitku berminyak tipe kulitku normal tipe kulitku sensitif
77,bagus banget dan terjangkau toplahyyyu amin untuk
78,serum di bungkus bubble wrap rapi kemarin dah coba serum ini cocok di kulit aku yang berminyak
79,belum di coba tapi packing aman
80,masalah kulitku jerawat
81,tipe kulitku kering tipe kulitku berminyak masalah kulitku jerawat tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan tipe kulitku sensitif masalah kulitku pori besar
82,udah beli fw azarine hampir setengah tahunan cocok dimuka ku yg oily pengiriman standard dan dapet murah bgt cuma ribu woilaah mantep bgt tokped sering sering kasi promo gedean danbocher juga 
83,baru nyoba dan warna sesuai ekspektasi
84,favorite
85,terima kasih barang sampe dengan selamat dan tepat waktu bgt sering sering diskonannya karena aku cocok bgt pake ini jadi bakalan beli terus
86,mantabbb
87,bagus sih produknya cocok cuma sedikit kecewa packagingnya kurang aman gak ada bublewrapnya padahal perjalanan jauh dari sidoarjo sampe jakarta
88,pengirimannya pake sicepat tapi sangat lambat  udh ada  gudang tgl baru diantar ke rmh tgl sayang banget ga sesuai nama
89,paket diterima dengan keadaan baik
90,baru pertama pakai semoga cocok yah min tipe kulitku berminyak tipe kulitku kombinasi
91,fast respon
92,okeeeeeeeee
93,niceeeee
94,worth the price pcs dapat harga  cashback 
95,thx ya
96,tipe kulitku berminyak masalah kulitku pori besar
97,packing aman banget semoga cocok
98,alhamdulillah aku cocok pakai azarine kulit wajah ku perlahan teratasi dgn azarine thanks azarine
99,repurchased nda bikin kusam affordable
100,susah di blend jadi alisnya numpuk ngeblock huhu
101,wanginya lumayan nyaman
102,suka wanginya
103,cocok di aku
104,tipe kulitku berminyak masalah kulitku jerawat
105,tipe kulitku berminyak masalah kulitku jerawat ini sunscreen ter thebest untuk kulit oily acne prone bagus banget luvv
