Review,Product,Rating,Username,Date
sipp,Azarine Cicamide Barrier Sunscreen Moisturiser SPF35 PA+++ 40ml,bintang 5,V***i,1/30/2024
"proses orderan san pengirimannya sesuai estimasi, pengemasannya juga aman banget! karena kulitku lagi cukup sensitif dan cukup sering pakai makeup, jadi mau coba sunscreen spray ini yg cukup menarik karena ada cooling sensationnya hehe, semoga cocok, thank you azarine!",[Twin Pack] Azarine Ceraspray Sunscreen Spray SPF 50 PA+++ 50ml,bintang 5,Frisca,1/30/2024
terima kasih sudah diterima dengan baik,Azarine Retinol Smooth Glowing Serum 20ml,bintang 5,ridwan,1/30/2024
tipe kulitku kombinasi tipe kulitku normal tipe kulitku kering tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,Azarine Acne Spot Serum 20ml,bintang 5,B***H,1/30/2024
Ini kurang oke menurut sy. Dipake ga bikin bibir lembab tp malah jd kering dan kasar. Belom lg warnanya merah bgt jd menor gt.,[Twin pack] Azarine Magic Colour Lip Serum 3.5ml [2x3.5ml] Lip Balm,bintang 4,Sabina,1/30/2024
tipe kulitku berminyak,Azarine Niacinamide 10%+Dipotassium Glycyrrhizate Glorious Serum 20ml,bintang 5,r***o,1/30/2024
tipe kulitku sensitif masalah kulitku jerawat,Azarine Hydramax-C Sunscreen Serum SPF 50 PA++++ 40 ml,bintang 5,A***u,1/30/2024
gak approved untuk sawo matang bibir hitam.. krn kliatan hitam bgt,[Azarine x Red Velvet] Tinted Lippie Cake Lip Tint 2.9ml,bintang 5,n***i,1/30/2024
setelah dicoba takut gak cocok..ternyata cocok di kulit saya..padahal kulit saya sensitif..top banget..ramah di kantong..,[CLEARANCE SALE] Azarine Twin Pack Sunscreen Mist Micellar Serum 2pcs,bintang 5,Joan,1/30/2024
selalu cocok sama produk azarine..top dech..,[CLEARANCE SALE] Azarine Twin Pack Sunscreen Mist Micellar Serum 2pcs,bintang 5,Joan,1/30/2024
cocok banget kulit jadi lembab..lebih fresh,Azarine Barrier Moisturizer Series Pelembab Wajah Cream Gel Moist 30g,bintang 5,Joan,1/30/2024
selalu cocok dengan produk azarine,Azarine Daily Defender Multivitamin Serum 20ml,bintang 5,Joan,1/30/2024
Ok,[GEL] Azarine Hydrashoothe Sunscreen Gel SPF45++++ 50ml,bintang 5,S***a,1/30/2024
Ok,Azarine Moisturizer Advanced Youth & Serum Retinol Complex [2 PCS],bintang 5,S***a,1/30/2024
Ok,Azarine Barrier Moisturizer Series Pelembab Wajah Cream Gel Moist 30g,bintang 5,S***a,1/30/2024
Ok,Azarine Active Bright Series Treatment,bintang 5,S***a,1/30/2024
tipe kulitku normal,[GEL] Azarine Hydrashoothe Sunscreen Gel SPF45++++ 50ml,bintang 5,D***i,1/30/2024
Cepet banget nyerapnya. Cocok buat kulit berminyak jerawatan ga bikin lengket. Suncreen terfavorit,Azarine Hydramax-C Sunscreen Serum SPF 50 PA++++ 40 ml,bintang 5,L***i,1/30/2024
ringan,[Azarine x Red Velvet] Velvety Lippie Cream Lip Velvet Matte 3.2 ml ,bintang 5,T***A,1/30/2024
bahannya ringan..mufah dserap kulit..terasa ringan dan wanginya enak..bagus untuk menghadap uv a dan uv b  tipe kulitku kombinasi,Azarine Cicamide Barrier Sunscreen Moisturiser SPF35 PA+++ 40ml,bintang 5,Saeful,1/30/2024
barang sesuai deskripsi,[Twin Pack Gel] Azarine Hydrasoothe Sunscreen Gel SPF45 PA++++ 50ml,bintang 5,M***d,1/30/2024
"Pengiriman cepat,penjual ramah,produk ori",Azarine Cicamide Barrier Sunscreen Moisturiser SPF35 PA+++ 40ml,bintang 5,E***h,1/30/2024
tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku pori besar,Azarine Sunscreen Gel SPF45 PA++++ & Vitamin C 10% / Niacinamide 10%,bintang 5,I***a,1/29/2024
Teksturnya ringan dan gampang menyerap. Tapi lama kelamaan kulit jadi rada berminyak di area t zone.,Azarine Cicamide Barrier Sunscreen Moisturiser SPF35 PA+++ 40ml,bintang 4,H***a,1/29/2024
"packet aman, packing rapih. cuma kurir expedisinya aja blegug, ditungguin Dr siang ga nyampe2. eh sore kita Ada urusan dadakan dia nyampe kaga ngabarin, pas Saya cek Dr tokped termyata packet tiba di tujuan padahal di rmh ga Ada org, entah ditaro mana sm kurirnya. Saya buru2 plg, termyata paketnya diselipin di kusen pintu, kacau sih bukannya kontak Saya dl gt. maen diselip aja, gmn coba klo Ada pemulung kira itu kotak kardus sampah? bisa ilang paket saya.",Azarine Radiant Luminous Serum 20ml,bintang 5,Julian,1/29/2024
"alhamdulillah cocok. pembelian kedua, thx u.",Azarine 2 Pcs Paket Barrier Moisturizer Series with Serum 30g,bintang 5,Suci,1/29/2024
"semua productnya kusuka.. kalo beli satuan total 5item 220rb. ku cuma beli 170rb, dapet cashback 20rb syenangnya masih dapet free gift pouch kaca n card",Azarine Super Easy Protection Bundle Sunscreen Spray SPF50 PA+++[5pcs],bintang 5,Elfrida,1/29/2024
"gemass, warnanya cantikk",[Azarine x Red Velvet] Tinted Lippie Cake Lip Tint 2.9ml,bintang 5,D***h,1/29/2024
repeat order,Azarine Acne Gentle Cleansing Foam,bintang 5,M***s,1/29/2024
masalah kulitku pori besar,Azarine Cicamide Barrier Sunscreen Moisturiser SPF35 PA+++ 40ml,bintang 5,Kenzhi,1/29/2024
"ini beda nih dari pertama beli wkwk first time nyobain jatuh cinta bgt, waktu itu pilih shade strawberrypine sama raspberry muffin. trus ini pembelian kedua, ngerasa ini formulanya beda bgt. ini lebih berminyak tapi short-lasting wkwk masa iya abis minum aer ilang, lah coba itu rugi dong 😭 🫵 udahlah, aku pindah haluan aja, byeee ✨",[Azarine x Red Velvet] Perfect Ombre Lips Kit,bintang 3,Megasari,1/29/2024
"tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar, overall worth it",Azarine Acne Gentle Cleansing Foam,bintang 5,Anwar,1/29/2024
kecepatan pengiriman baik. ada bubble warp.,Azarine Barrier Moisturizer Series Pelembab Wajah Cream Gel Moist 30g,bintang 4,D***i,1/29/2024
tipe kulitku sensitif  masalah kulitku jerawat masalah kulitku pori besar,Azarine Barrier Moisturizer Series Pelembab Wajah Cream Gel Moist 30g,bintang 5,A***a,1/29/2024
dpt harga ceban yay. blm dicoba,[CLEARANCE SALE] Azarine CBD Ampoule Bubble Me Primer Makeup Hair Spa,bintang 5,Astrid,1/29/2024
"pembelian kesekian kalinya. cocok di muka apalagi klo pas jerawatan, kulitnya tetep bs bnafas",Azarine Calm My Acne Sunscreen Moisturiser SPF35 PA+++ 40ml,bintang 5,Astrid,1/29/2024
ternyata dapet 2 ya. baru pertama kali semoga cocok,[TWIN PACK] Azarine CBD Hydraoxidant Ampoule 40ml,bintang 4,Astrid,1/29/2024
"mudah2an cocok, terima kasih👍🏻",Azarine Retinol Smooth Glowing Serum 20ml,bintang 5,D***a,1/29/2024
udh sering beli ini dan selalu cocok,[Twin Pack Gel] Azarine Hydrasoothe Sunscreen Gel SPF45 PA++++ 50ml,bintang 5,P***a,1/29/2024
barang datang dengan selamat walau agak lama datangnya,[Twin Pack] Azarine Barrier Moisturizer Series Pelembab Wajah [2x30g],bintang 5,Izzaddin,1/29/2024
"packing nya bagus bgt utk cream dg hrg segitu. tekstur ringan cepet meresap di kulit, ga ada bau menyengat samsek. semoga cocok di kulit aku yg kering tp bruntusan.  tq.",Azarine Moisturizer Advanced Youth & Serum Retinol Complex [2 PCS],bintang 4,M***a,1/29/2024
terima kasih...,Azarine Body Guard Moisturizer Sunscreen Serum 100ml,bintang 5,A***i,1/29/2024
tipe kulitku berminyak,[TWINPACK] Azarine Cicamide Barrier Sunscreen Moisturiser SPF35 PA+++,bintang 5,N***a,1/29/2024
"Bahannya ringan, mudah menyerap cocok di kulit aku yg berjerawat. gak bikin breakout. The best pokoknya👍🏻👍🏻",[GEL] Azarine Hydrashoothe Sunscreen Gel SPF45++++ 50ml,bintang 5,Yashinta,1/29/2024
tipe kulitku kombinasi masalah kulitku jerawat,Azarine Calm My Acne Sunscreen Moisturiser SPF35 PA+++ 40ml,bintang 5,Shabir,1/29/2024
tipe kulitku kombinasi,[Azarine x Marvel] Retinol Complex + 5x Ceramide Mighty Serum 20ml,bintang 5,R***a,1/29/2024
