,Review
0,no review found
1,ini parah banget seller dan pengiriman kurir udah lama banget kirimnya plus waktu sampai dibuka paketnya rusak gajelas ini seller tidak professional dan tidak niat jualan sama sekali meskipun official store tolong hargai customer dengan dapat membungkus paket dengan baik dan benar
2,tipe kulitku sensitif
3,baru pertama kali coba baca review banyak yang kasih nilai bagus semoga cocok yaa
4,kotaknya penyok untung pake bubble wrap yg tebal barang aman deh
5,for the first time mau cobain moisturizer viral ini semoga cocok deh sama bumil iniii 
6,enak bahannya lebih cocok daripada formula lama muka gak benyek bgt
7,gentle moist dan isinya banyak love the new packaging
8,bahannya ringan lembab dan ukuran cocok untuk dibawa traveling thank you seller
9,tipe kulitku berminyak masalah kulitku pori besar tipe kulitku sensitif aku cocok pake ini hasilnya melembabkan dan alhamdulillah sejauh ini di kulit aman
10,agak kecewa sama pelayanan kali ini berhari nggak dikirim setelah kita chat kalau mau batalin biar bisa ganti one day shipping karena udah mepet mau dipake travelling malah besokannya langsung dikirim pakai pengiriman awal yg regular alhasil barangnya malah jadi nggak kepake karena telat sampai
11,tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar tipe kulitku kombinasi
12,josssss gandosss
13,melembapkan bruntusan ku di dahi hilang pakek ini
14,cocok banget
15,selalu bagus
16,packaging rapi dan aman thank you seller
17,proses dikirimnya lama barang so far oke oke saja packingnya super aman
18,prodak yg dikirim sesuai pesanan
19,nice
20,kerennn
21,pengiriman sengaja pakai gosend biar cepat tapi ternyata ga dikirim setelah hari malah disuruh reorder dengan alasan bakal dapet kompensasi taunya pas reorder sampenya pun malam bgt kompensasi yg dijanjikan gada udh beberapa kali beli baru kali ini kecewa
22,cepat meresap ringan di kulit wajah cuman buat dryskin krg melembabkan tapi enak buat prep sblm makeup
23,seller sangat cepat memproses barang packing sangat baik dan aman reliable sangat
24,cocok di kulit normal
25,selangnya sependek apa sih sampe dia ilang kebawah wtf annoying bgt pakenya gmn coba udah aku cari tp gak ada selangnya pake tube ajalah kalo pake packaging kaya gini bermasalah mulu sayang bgt padahal formulanya sebagus itu tapi kalo packagingnya begini sihhh big no deh
26,akhirnya mendarat pelembab kesayangan
27,mantap pesanan sesuai dan seller responsif packing aman banget tebal bravo seller
28,packagingnya bisa diperbaiki ya untungnya barangnya aman tapi tadi tinggal selipin aja udah keambil barangnya kalau dari produknya semoga awet dan cocok ya
29,waotery ok
30,ringan diaku yg kulitnya kering malah gak cuco tumbuh jerawat bergantian tp di adik aku th yg kombinasi malah cucooo aman wkt itu cekot pas masi packaging lama gak lama mereka ganti packaging harganya lumayan yahh good deal utk aku
31,kemasan ok
32,favorite gampang kempess emang baunya sih yg ganggu tapi worth it
33,kaget banget moisturizernya udah berevolusi sesuai skin type udah cocok banget sama moisturizer sebelumnya dan ini pertama kali mau coba yang versi ini semoga hasilnya bagus juga terima kasih seller
34,mantaaaaab semoga cocok
35,lagi banyak bekas jerawat semoga cocokkk
36,luv
37,baju barunya cantik banget keliatan mewah jadinya kualitas produknya juga gausa diragukan lagi bagus banget semenjak pake moist dari skin game kulitku jadi better ini repurchase kedua aku dan keknya bakal repurchase terus  packagingnya juga aman banget pake bubble wrap kardus thanks seller
38,baru semingguan coba dan ternyata enak banget bikin kulit muka jadi lumayan moist kebetulan tipe kulitku kombinasi tapi lagi lumayan kering di sekitar dahi dan pipi jadi skingame ini ngebantu banget buat nenangin kulit yang lagi kerontang banget efek lainnya belum keliatan tapi bikin jerawat jadi cepet mateng juga recommended krn bahannya ga macem jadi cocok buat yang lagi butuh moisturizer dan perbaikin skin barrier
39,mari kita coba pelayanannya oke
40,barang aman bubble wrap tebal kualitas terjaga semoga reformulasi ini lebih oke daripada formula sebelumnya
41,mnatap walau agak berbeda dari versi sebelumnya semoga cocok
42,safely arrived semoga cocok
43,ringan dan mudah menyerapp
44,skintype oily acne prone pake ini sesuai ringan bagus
45,gais aku preloved punyaku klo ada yg mau aku jual murah aja kondisi masih msih ada box dijual karna ngrsa ga cocok
46,moisturizer brand apapun yg aku coba pasti bakal balik kesini and she  back with  new packaging thank you skin game for being my most holy grail moisturizer  might try the cream one too soon
47,sejauh ini make dari skingame ada sampe sekarang cocok aku tipe kulit yg sensitif banget ada pie jg pake ini nyaman dipake gk ada efek samping
48,belum dicoba semoga cocok tp tmn aku uda pake ini dan tipe kulit kita hampir sama semoga cocok juga
49,baguss banget packingnyaa feels secured danaman banget the product itself is pretty bulky tapi ga gampang bocorr jd gaperlu khawatirr aku baru coba bbrp harii so  couldnt rlly tell  if it works or nott but overall  rlly like their products
50,jujur agak panik pas liat dusnya penyok tapi ternyata isinya aman meskipun pas buka dus kemasan tutup botol moist nya agak kurang rapet untung isinya masih aman gak luber kemana mana
51,jujur agak panik pas liat dusnya penyok tapi ternyata isinya aman meskipun pas buka dus kemasan tutup botol moist nya agak kurang rapet untung isinya masih aman gak luber kemana mana baru sekali pake produk yang ini oke banget pas dipake ke kulit cocok suka sama packing barunya
52,cocok di kulit berminyak kemasannya lucu
53,bahannya ringan cepet meresap terus packaging nya ok banget
54,terima kasih banyak paket sudah sampai dengan selamat
55,barang bagus sesuai packing mantap terima kasih
56,gausah ditanya lagi emang sebagus itu lembab dan bisa bantu pulih skin barier sejauh ini moisturizer yg gak akan ganti lagi
57,produk sangat bangus langsung menyerap dan membuat lembab
58,udah repurchase berkali produk simple dan efektif packaging jg simple dan aman
59,cocok di kulit saya tekstur ringan dan sangat cepat menyerap di kulit super recommended
60,baru pertama kali beli skin game mudah mudahan cocok
61,akhirnyaaa menemukan moisturizer yg cocokkk moistnya ringan dan cepet menyerap aku udah make tube tube bisa dipake bulan lebih tergantung pemakaiannya
62,baguss semoga cocok
63,baru mau dicoba semoga cocok
64,produk ori dan aman kakak adminnya juga ramah banget bakal repurchase lagiii deh kayaknya
65,pengiriman dan pengemasan cepat bgt aman produk sesuai udh pernah coba dan lumayan bikin jerawat cpt mateng thankyou
66,baunya agak aneh apek dan bau besi seperti dr tempatnya saya pernah pakai sabun lain yg tanpa bau tp ga pernah spt ini jd kurang nyaman pakainya dan sampai skrg masih ada
67,dari dulu selalu jadi langganan untuk solusi kalau lagi jerawatan bulan ini kebetulan lagi breakout dan tidak pikir lama langsung checkout kembali ini holy grail  love you kembali serebu
68,barang sampai dgn selamat packagingnya jg aman semoga cocok
69,warna nya kuning entah karena apa
70,baru pertama kali coba semoga cocok thank you seller
71,barang sampai dgn selamat
72,packing rapi dan aman barang sesuai pesenan
73,this moisturizer is seriously  game changer  love how one bottle could last me months
74,baeu nyoba pertama kali smoga bisa cocok krn reviewnya bagus
75,ringan bgt waktu di apply cocok buat kulit berminyak moist parahh
76,botol keduaaa aslii butuh bulan untuk habisin botol pertama cocok bgt di kulit oilyy mudah meresap dan menurutku mudah meredakan jerawat juga sii packaging aman dan rapiiih bangett luuvvv
77,bagusss delivery lumayan lama
78,lagi nyoba nih pertama kali udah make harian wow aku suka banget teksturnyaa oilyskin friendly banget luvvv nanti kalo udah abis aku mau beli yang gede
79,product bagus harga promo dapet cashback
80,pengemasannya cepat dan aman baru nyobain moisturizernya dan so far aman mungkin bakal repurchase lagi nanti thank you
81,thanks mau dicoba dulu produknya
82,pumpnya jelek sekali pas dipakai malah muncrat uda habis botol tp belum ada perubahan untuk kulit jerawat sedang
83,seperti megecil
84,baunya mild tekstur gel mudah meresap exp nya masih
85,love banget sama pelayanannya
86,expired
87,packaging bagus beda dari moisturizer kebanyakan teksturnya gel kental pas dioles ada sensasi dinginnya dan cepat meresap cukup kali pump bisa untuk pemakaian seluruh wajah kayaknya bakalan irit banget ini pemakaiannya semoga cocok di kulit wajah aku ya
88,belum dicoba semoga cocok pengiriman cepat packing aman trmaksih
89,repurchase kedua kali
90,moisturizer favorit
91,ringan dan melembabkan bener bener ga salah buat coba
92,first impression botolnya cantik amat woy plisss buat produknya sebenernya ga bisa di ulas sih ya karena baru pakai tapi moisturizernya cepet meresap dan yaa gimana moisturizer pada umumnya melembabkan
93,teksturnya ringan mudah merasap baru pertama kali coba semoga cocok di kulit aku packingnya aman bgt dikasih box trus pake bubble wrap
94,baru mau coba tipe kulit kering sensitive semoga cocok
95,tipe kulitku oily ini oke banget di kulit kelembaban nya oke buat seharian dan teksturnya ringan banget cepat meresap udah gitu isinya banyak
96,ini tube kedua aku dan aku cocok banget sama produknya ringan enak banget dipakenya dan ngelembabin kulit aku tipe oily dan ini cukup dipake malem aja sampe siangnya masih ngelembabin banget
97,enak bagus tp sayang mahal
98,cocokan aja klo produknya soal pelayanan pengiriman kemasan semua okay
99,bahan ringan dan mudah menyerap di kukit
100,ukuran lebi kecil tp awet ajaaa
101,aku belum pernah coba tp suka pengirimannya cepetttt
102,botol kedua cocok buat di kulit jerawat dan berminyak ringan cepet meresap ml awet bgt bs bulanan thanks seller
103,fast delivery dan sesuai barangnya akan update terkait kecocokannya
104,suka bgt sama formula nya yg gampang ngeresap kekulit dan ringan bgt pokoknya luv bgt
105,produk sesuai deskripsi proses cepat  dikemas sangat aman top deh makasih  sukses selalu
106,beralih kesini ringan dan cocok buat kulit yg rada sensitif kyak gw
107,terima kasih
108,cocok di kulit berminyak kerasa melembapkan tapi tidak berat di wajah
109,alhamdulillah paketnya sampe udah udah kali order kali ini mudahan cocok pengiriman cepet hari aja packing aman makasih seller sukses
