,Review,Review_norm,review_tokens,review_tokens_SR
0,no review found,no review found,"['no', 'review', 'found']","['no', 'review', 'found']"
1,ini parah banget seller dan pengiriman kurir udah lama banget kirimnya plus waktu sampai dibuka paketnya rusak gajelas ini seller tidak professional dan tidak niat jualan sama sekali meskipun official store tolong hargai customer dengan dapat membungkus paket dengan baik dan benar,ini parah banget seller dan pengiriman kurir sudah lama banget kirimnya plus waktu sampai dibuka paketnya rusak enggak jelas ini seller tidak professional dan tidak niat jualan sama sekali meskipun official store tolong hargai customer dengan dapat membungkus paket dengan baik dan benar,"['ini', 'parah', 'banget', 'seller', 'dan', 'pengiriman', 'kurir', 'sudah', 'lama', 'banget', 'kirimnya', 'plus', 'waktu', 'sampai', 'dibuka', 'paketnya', 'rusak', 'enggak', 'jelas', 'ini', 'seller', 'tidak', 'professional', 'dan', 'tidak', 'niat', 'jualan', 'sama', 'sekali', 'meskipun', 'official', 'store', 'tolong', 'hargai', 'customer', 'dengan', 'dapat', 'membungkus', 'paket', 'dengan', 'baik', 'dan', 'benar']","['parah', 'banget', 'seller', 'pengiriman', 'kurir', 'lama', 'banget', 'kirimnya', 'plus', 'waktu', 'dibuka', 'paketnya', 'rusak', 'enggak', 'jelas', 'seller', 'professional', 'niat', 'jualan', 'sama', 'sekali', 'meskipun', 'official', 'store', 'hargai', 'customer', 'membungkus', 'paket', 'baik', 'benar']"
2,tipe kulitku sensitif,tipe kulitku sensitif,"['tipe', 'kulitku', 'sensitif']","['tipe', 'kulitku', 'sensitif']"
3,baru pertama kali coba baca review banyak yang kasih nilai bagus semoga cocok yaa,baru pertama kali coba baca review banyak yang kasih nilai bagus semoga cocok ya,"['baru', 'pertama', 'kali', 'coba', 'baca', 'review', 'banyak', 'yang', 'kasih', 'nilai', 'bagus', 'semoga', 'cocok', 'ya']","['baru', 'pertama', 'kali', 'coba', 'baca', 'review', 'banyak', 'kasih', 'nilai', 'bagus', 'semoga', 'cocok']"
4,kotaknya penyok untung pake bubble wrap yg tebal barang aman deh,kotaknya penyok untung pakai bubble wrap yang tebal barang aman deh,"['kotaknya', 'penyok', 'untung', 'pakai', 'bubble', 'wrap', 'yang', 'tebal', 'barang', 'aman', 'deh']","['kotaknya', 'penyok', 'untung', 'pakai', 'bubble', 'wrap', 'tebal', 'barang', 'aman', 'deh']"
5,for the first time mau cobain moisturizer viral ini semoga cocok deh sama bumil iniii ,for the first time mau mencoba moisturizer viral ini semoga cocok deh sama bumil ini ,"['for', 'the', 'first', 'time', 'mau', 'mencoba', 'moisturizer', 'viral', 'ini', 'semoga', 'cocok', 'deh', 'sama', 'bumil', 'ini']","['for', 'the', 'first', 'time', 'mau', 'mencoba', 'moisturizer', 'viral', 'semoga', 'cocok', 'deh', 'sama', 'bumil']"
6,enak bahannya lebih cocok daripada formula lama muka gak benyek bgt,enak bahannya lebih cocok daripada formula lama muka enggak benyek banget,"['enak', 'bahannya', 'lebih', 'cocok', 'daripada', 'formula', 'lama', 'muka', 'enggak', 'benyek', 'banget']","['enak', 'bahannya', 'lebih', 'cocok', 'formula', 'lama', 'muka', 'enggak', 'benyek', 'banget']"
7,gentle moist dan isinya banyak love the new packaging,gentle moist dan isinya banyak love the new packaging,"['gentle', 'moist', 'dan', 'isinya', 'banyak', 'love', 'the', 'new', 'packaging']","['gentle', 'moist', 'isinya', 'banyak', 'love', 'the', 'new', 'packaging']"
8,bahannya ringan lembab dan ukuran cocok untuk dibawa traveling thank you seller,bahannya ringan lembab dan ukuran cocok untuk dibawa traveling thank you seller,"['bahannya', 'ringan', 'lembab', 'dan', 'ukuran', 'cocok', 'untuk', 'dibawa', 'traveling', 'thank', 'you', 'seller']","['bahannya', 'ringan', 'lembab', 'ukuran', 'cocok', 'dibawa', 'traveling', 'thank', 'you', 'seller']"
9,tipe kulitku berminyak masalah kulitku pori besar tipe kulitku sensitif aku cocok pake ini hasilnya melembabkan dan alhamdulillah sejauh ini di kulit aman,tipe kulitku berminyak masalah kulitku pori besar tipe kulitku sensitif aku cocok pakai ini hasilnya melembabkan dan alhamdulillah sejauh ini di kulit aman,"['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'pori', 'besar', 'tipe', 'kulitku', 'sensitif', 'aku', 'cocok', 'pakai', 'ini', 'hasilnya', 'melembabkan', 'dan', 'alhamdulillah', 'sejauh', 'ini', 'di', 'kulit', 'aman']","['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'pori', 'besar', 'tipe', 'kulitku', 'sensitif', 'aku', 'cocok', 'pakai', 'hasilnya', 'melembabkan', 'alhamdulillah', 'sejauh', 'kulit', 'aman']"
