,Review
0,masalah kulitku kerutan
1,tipe kulitku kering
2,bagus banget lip tint nya warnanya jg bagus kemasannya gemes banget kecil terimakasih
3,expire pengiriman cepat cocok asal penggunaan sesuai instruksi
4,no review found
5,dapet gift setiap pembelian lucu bgt sukaaa makasi
6,ringan banget kaya ga pake apa apa terus beneran transferproof mana design nya lucu lagiii
7,tipe kulitku sensitif dan cocok banget pake ini gak bikin kering sama sekali
8,datang sesuai estimasi pengiriman packing aman terima kasih jne dan tokopedia
9,pertama coba nih serum moga cocok packing aman dan kurir toppp tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar
10,suka sama retinolnya somethinc
11,baguuus warna pas coverage ok
12,cocok buatku yg ga pake bedak awalnya emang ada agak abu gt dikulit tp kalo sdh meresap goooodddd
13,diamond nak bgt dipake lemonade ku baru mau coba smga cocok
14,enak banget aplikatornyaaa
15,fast response on time delivery
16,baru sekali ini mau coba semoga cocok tqpi klo serum lainnya udah kesekian kali pake dan cocok cocok aja di kulit
17,ini pembelian ke dua serum diamond ini sejauh ini cocok di kulit belum ada perubahan yang signifikan tapi karena di kulit enak jadi beli lagi
18,cocok pake pelembab ini selalu dipake siang dan malem lebih suka packaging yang ml karena bisa ke kontrol pemakaiannya dan gak kebanyakan nempel ke muka
19,baru nyoba sekali ini semoga cocok tapi klo produk skin care lainnya udah bbrp kali coba dan cocok di kulit
20,bagus bikin bulu mata lentik dan awet
21,first nyoba moist ini semoga cocok makasih min dikasih bonus lucuu sukses selalu
22,best matte lipstick repeat order kesekian kalinya tak terhitung lipstick favourite
23,tipe kulitku normal masalah kulitku kerutan
24,alhamdulillah dapet diskonan terima kasih kak
25,wanginya soft pembelian pertama
26,agak encer dicoba dulu ya thx
27,tipe kulitku sensitif tipe kulitku kering
28,tipe kulitku sensitif
29,tipe kulitku berminyak masalah kulitku jerawat
30,ori
31,paket diterima dg baik dan pengiriman cepat banget packagingnya bagus banget aman jg produk cocok dg kulit istri saya senang banget dia thanks
32,tipe kulitku berminyak pengiriman cepat produk baik sesuai deskripsi makasih seller
33,barang sudah sampai dan sesuai semoga cocok di akuu thanks sellerrr tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar
34,tipe kulitku kombinasi masalah kulitku pori besar masalah kulitku kerutan
35,seneng banget dapet harga promo terus padahal ditulisannya gak ada bonus gift dikasih gift eyelashes curler dong huhu thank you somethinc
36,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif
37,terima kasih
38,perfect shade
39,terbaik favorite
40,bagus banget baru seminggu pakai bacne ku mulai hilang ada purgingnya dia kek bikin bacne mateng dulu gitu abis itu baru ilang tapi dikit banget isinya baru seminggu habis mungkin karena pakenya terlalu banyak kali ya
41,nice
42,tipe kulitku kombinasi biasanya beli jar baru baru nyobain ver refilnya aku cocok bgt dulu kulitku pernah kering sampe luka yg jadi hitam ketarik kulitnya pake ini seminggu bener sembuh dan bekasnya pudar
43,seneng banget dapet harga rb
44,tipe kulitku berminyak masalah kulitku jerawat tipe kulitku sensitif cocok dengan cleansing dari somethinc keren tq
45,tipe kulitku berminyak
46,barang sampai dengan selamat tapi udah  beli disini gak pernah dapet bonus jadi yg pada dapet bonus tu bener gak ya
47,tipe kulitku normal
48,udah cocok bagus di muka ngurangin garis halus  kerut
49,mantap dpt harga diskon mkasih ya min
50,tipe kulitku normal tipe kulitku sensitif
51,semoga cocok
52,pengiriman cepet bagusss next order lagiiiii
53,masalah kulitku jerawat tipe kulitku sensitif cocok banget
54,pesanan yg datang sesuai dan tidak bocor
55,recomended thx
56,bagus bgt weh sat set tiap pagi buat aku yang super keringetan ini masih awet sampe malem ada transfer cuma ga heboh
57,barang bagus pastinya original
58,masalah kulitku kerutan tipe kulitku sensitif tipe kulitku kombinasi
59,goooooooddd
60,tipe kulitku kombinasi tipe kulitku normal tipe kulitku kering tipe kulitku berminyak
61,cakepppp
62,sudah sampai semoga ada hasil
63,tahan lama teksturnya cair mudah meresap
64,cocok ini favorite selalu gunakan inii
65,tipe kulitku berminyak tipe kulitku kering tipe kulitku sensitif masalah kulitku kerutan masalah kulitku jerawat tipe kulitku normal tipe kulitku kombinasi
66,bagussss pengiriman cepaaattt makasiii sellerr
67,mantapp belom dicoba sih untuk ketahanannya tapi enak buat diaplikasikannya
68,cepat sampai dan respon baik barang belum dicoba nanti diupdate lagi
69,produk sesuai deskripsi packaging rapi aman pengiriman cepat dpt diskon tokped jd cuma rb
70,texture dan baunya kurang biasa sih tapi masih bisa ditoleransi kok untuk ukuran yang ml kirain sudah airless pump juga ternyata belum overall masih aman aman aja di kulit normal berminyak karena masih kurang dari seminggu pemakaian
