,Review,Review_norm,review_tokens,review_tokens_SR
0,masalah kulitku kerutan,masalah kulitku kerutan,"['masalah', 'kulitku', 'kerutan']","['masalah', 'kulitku', 'kerutan']"
1,tipe kulitku kering,tipe kulitku kering,"['tipe', 'kulitku', 'kering']","['tipe', 'kulitku', 'kering']"
2,bagus banget lip tint nya warnanya jg bagus kemasannya gemes banget kecil terimakasih,bagus banget lip tint nya warnanya juga bagus kemasannya gemas banget kecil terima kasih,"['bagus', 'banget', 'lip', 'tint', 'nya', 'warnanya', 'juga', 'bagus', 'kemasannya', 'gemas', 'banget', 'kecil', 'terima', 'kasih']","['bagus', 'banget', 'lip', 'tint', 'nya', 'warnanya', 'bagus', 'kemasannya', 'gemas', 'banget', 'kecil', 'terima', 'kasih']"
3,expire pengiriman cepat cocok asal penggunaan sesuai instruksi,expire pengiriman cepat cocok asal penggunaan sesuai instruksi,"['expire', 'pengiriman', 'cepat', 'cocok', 'asal', 'penggunaan', 'sesuai', 'instruksi']","['expire', 'pengiriman', 'cepat', 'cocok', 'asal', 'penggunaan', 'sesuai', 'instruksi']"
4,no review found,no review found,"['no', 'review', 'found']","['no', 'review', 'found']"
5,dapet gift setiap pembelian lucu bgt sukaaa makasi,dapat gift setiap pembelian lucu banget suka terima kasih,"['dapat', 'gift', 'setiap', 'pembelian', 'lucu', 'banget', 'suka', 'terima', 'kasih']","['gift', 'pembelian', 'lucu', 'banget', 'suka', 'terima', 'kasih']"
6,ringan banget kaya ga pake apa apa terus beneran transferproof mana design nya lucu lagiii,ringan banget kayak enggak pakai apa apa terus benaran transferproof mana design nya lucu lagi,"['ringan', 'banget', 'kayak', 'enggak', 'pakai', 'apa', 'apa', 'terus', 'benaran', 'transferproof', 'mana', 'design', 'nya', 'lucu', 'lagi']","['ringan', 'banget', 'kayak', 'enggak', 'pakai', 'apa', 'apa', 'terus', 'benaran', 'transferproof', 'mana', 'design', 'nya', 'lucu']"
7,tipe kulitku sensitif dan cocok banget pake ini gak bikin kering sama sekali,tipe kulitku sensitif dan cocok banget pakai ini enggak bikin kering sama sekali,"['tipe', 'kulitku', 'sensitif', 'dan', 'cocok', 'banget', 'pakai', 'ini', 'enggak', 'bikin', 'kering', 'sama', 'sekali']","['tipe', 'kulitku', 'sensitif', 'cocok', 'banget', 'pakai', 'enggak', 'bikin', 'kering', 'sama', 'sekali']"
8,datang sesuai estimasi pengiriman packing aman terima kasih jne dan tokopedia,datang sesuai estimasi pengiriman packing aman terima kasih jne dan tokopedia,"['datang', 'sesuai', 'estimasi', 'pengiriman', 'packing', 'aman', 'terima', 'kasih', 'jne', 'dan', 'tokopedia']","['datang', 'sesuai', 'estimasi', 'pengiriman', 'packing', 'aman', 'terima', 'kasih', 'jne', 'tokopedia']"
9,pertama coba nih serum moga cocok packing aman dan kurir toppp tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,pertama coba nih serum moga cocok packing aman dan kurir top tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,"['pertama', 'coba', 'nih', 'serum', 'moga', 'cocok', 'packing', 'aman', 'dan', 'kurir', 'top', 'tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['pertama', 'coba', 'nih', 'serum', 'moga', 'cocok', 'packing', 'aman', 'kurir', 'top', 'tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']"
10,suka sama retinolnya somethinc,suka sama retinolnya somethinc,"['suka', 'sama', 'retinolnya', 'somethinc']","['suka', 'sama', 'retinolnya', 'somethinc']"
11,baguuus warna pas coverage ok,bagus warna pas coverage ok,"['bagus', 'warna', 'pas', 'coverage', 'ok']","['bagus', 'warna', 'pas', 'coverage']"
12,cocok buatku yg ga pake bedak awalnya emang ada agak abu gt dikulit tp kalo sdh meresap goooodddd,cocok buatku yang enggak pakai bedak awalnya memang ada agak abu begitu dikulit tapi kalo sudah meresap good,"['cocok', 'buatku', 'yang', 'enggak', 'pakai', 'bedak', 'awalnya', 'memang', 'ada', 'agak', 'abu', 'begitu', 'dikulit', 'tapi', 'kalo', 'sudah', 'meresap', 'good']","['cocok', 'buatku', 'enggak', 'pakai', 'bedak', 'awalnya', 'memang', 'abu', 'dikulit', 'kalo', 'meresap', 'good']"
13,diamond nak bgt dipake lemonade ku baru mau coba smga cocok,diamond enak banget dipakai lemonade ku baru mau coba semoga cocok,"['diamond', 'enak', 'banget', 'dipakai', 'lemonade', 'ku', 'baru', 'mau', 'coba', 'semoga', 'cocok']","['diamond', 'enak', 'banget', 'dipakai', 'lemonade', 'ku', 'baru', 'mau', 'coba', 'semoga', 'cocok']"
14,enak banget aplikatornyaaa,enak banget aplikatornya,"['enak', 'banget', 'aplikatornya']","['enak', 'banget', 'aplikatornya']"
15,fast response on time delivery,fast response on time delivery,"['fast', 'response', 'on', 'time', 'delivery']","['fast', 'response', 'on', 'time', 'delivery']"
16,baru sekali ini mau coba semoga cocok tqpi klo serum lainnya udah kesekian kali pake dan cocok cocok aja di kulit,baru sekali ini mau coba semoga cocok tqpi kalo serum lainnya sudah kesekian kali pakai dan cocok cocok saja di kulit,"['baru', 'sekali', 'ini', 'mau', 'coba', 'semoga', 'cocok', 'tqpi', 'kalo', 'serum', 'lainnya', 'sudah', 'kesekian', 'kali', 'pakai', 'dan', 'cocok', 'cocok', 'saja', 'di', 'kulit']","['baru', 'sekali', 'mau', 'coba', 'semoga', 'cocok', 'tqpi', 'kalo', 'serum', 'lainnya', 'kesekian', 'kali', 'pakai', 'cocok', 'cocok', 'kulit']"
17,ini pembelian ke dua serum diamond ini sejauh ini cocok di kulit belum ada perubahan yang signifikan tapi karena di kulit enak jadi beli lagi,ini pembelian ke dua serum diamond ini sejauh ini cocok di kulit belum ada perubahan yang signifikan tapi karena di kulit enak jadi beli lagi,"['ini', 'pembelian', 'ke', 'dua', 'serum', 'diamond', 'ini', 'sejauh', 'ini', 'cocok', 'di', 'kulit', 'belum', 'ada', 'perubahan', 'yang', 'signifikan', 'tapi', 'karena', 'di', 'kulit', 'enak', 'jadi', 'beli', 'lagi']","['pembelian', 'serum', 'diamond', 'sejauh', 'cocok', 'kulit', 'perubahan', 'signifikan', 'kulit', 'enak', 'jadi', 'beli']"
18,cocok pake pelembab ini selalu dipake siang dan malem lebih suka packaging yang ml karena bisa ke kontrol pemakaiannya dan gak kebanyakan nempel ke muka,cocok pakai pelembab ini selalu dipakai siang dan malam lebih suka packaging yang ml karena bisa ke kontrol pemakaiannya dan enggak kebanyakan menempel ke muka,"['cocok', 'pakai', 'pelembab', 'ini', 'selalu', 'dipakai', 'siang', 'dan', 'malam', 'lebih', 'suka', 'packaging', 'yang', 'ml', 'karena', 'bisa', 'ke', 'kontrol', 'pemakaiannya', 'dan', 'enggak', 'kebanyakan', 'menempel', 'ke', 'muka']","['cocok', 'pakai', 'pelembab', 'selalu', 'dipakai', 'siang', 'malam', 'lebih', 'suka', 'packaging', 'ml', 'kontrol', 'pemakaiannya', 'enggak', 'kebanyakan', 'menempel', 'muka']"
19,baru nyoba sekali ini semoga cocok tapi klo produk skin care lainnya udah bbrp kali coba dan cocok di kulit,baru mencoba sekali ini semoga cocok tapi kalo produk skin care lainnya sudah beberapa kali coba dan cocok di kulit,"['baru', 'mencoba', 'sekali', 'ini', 'semoga', 'cocok', 'tapi', 'kalo', 'produk', 'skin', 'care', 'lainnya', 'sudah', 'beberapa', 'kali', 'coba', 'dan', 'cocok', 'di', 'kulit']","['baru', 'mencoba', 'sekali', 'semoga', 'cocok', 'kalo', 'produk', 'skin', 'care', 'lainnya', 'beberapa', 'kali', 'coba', 'cocok', 'kulit']"
20,bagus bikin bulu mata lentik dan awet,bagus bikin bulu mata lentik dan awet,"['bagus', 'bikin', 'bulu', 'mata', 'lentik', 'dan', 'awet']","['bagus', 'bikin', 'bulu', 'mata', 'lentik', 'awet']"
21,first nyoba moist ini semoga cocok makasih min dikasih bonus lucuu sukses selalu,first mencoba moist ini semoga cocok terima kasih min dikasih bonus lucu sukses selalu,"['first', 'mencoba', 'moist', 'ini', 'semoga', 'cocok', 'terima', 'kasih', 'min', 'dikasih', 'bonus', 'lucu', 'sukses', 'selalu']","['first', 'mencoba', 'moist', 'semoga', 'cocok', 'terima', 'kasih', 'min', 'dikasih', 'bonus', 'lucu', 'sukses', 'selalu']"
22,best matte lipstick repeat order kesekian kalinya tak terhitung lipstick favourite,best matte lipstick repeat order kesekian kalinya tak terhitung lipstick favourite,"['best', 'matte', 'lipstick', 'repeat', 'order', 'kesekian', 'kalinya', 'tak', 'terhitung', 'lipstick', 'favourite']","['best', 'matte', 'lipstick', 'repeat', 'order', 'kesekian', 'kalinya', 'tak', 'terhitung', 'lipstick', 'favourite']"
23,tipe kulitku normal masalah kulitku kerutan,tipe kulitku normal masalah kulitku kerutan,"['tipe', 'kulitku', 'normal', 'masalah', 'kulitku', 'kerutan']","['tipe', 'kulitku', 'normal', 'masalah', 'kulitku', 'kerutan']"
24,alhamdulillah dapet diskonan terima kasih kak,alhamdulillah dapat diskonan terima kasih kak,"['alhamdulillah', 'dapat', 'diskonan', 'terima', 'kasih', 'kak']","['alhamdulillah', 'diskonan', 'terima', 'kasih', 'kak']"
25,wanginya soft pembelian pertama,wanginya soft pembelian pertama,"['wanginya', 'soft', 'pembelian', 'pertama']","['wanginya', 'soft', 'pembelian', 'pertama']"
26,agak encer dicoba dulu ya thx,agak encer dicoba dulu ya thanks,"['agak', 'encer', 'dicoba', 'dulu', 'ya', 'thanks']","['encer', 'dicoba', 'dulu', 'thanks']"
27,tipe kulitku sensitif tipe kulitku kering,tipe kulitku sensitif tipe kulitku kering,"['tipe', 'kulitku', 'sensitif', 'tipe', 'kulitku', 'kering']","['tipe', 'kulitku', 'sensitif', 'tipe', 'kulitku', 'kering']"
28,tipe kulitku sensitif,tipe kulitku sensitif,"['tipe', 'kulitku', 'sensitif']","['tipe', 'kulitku', 'sensitif']"
29,tipe kulitku berminyak masalah kulitku jerawat,tipe kulitku berminyak masalah kulitku jerawat,"['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat']","['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat']"
30,ori,orisinal,['orisinal'],['orisinal']
