,Review,Sentimen
0,kecewa banget saya pesan yang free pouch tapi dikirimnya cotton pad kaget pas unboxing untung di videokan segera kabarin customer servicenya dan disuruh isi googleform untuk dikirimkan ulang pouchnya setelah hari nggak ada kabar akhirnya saya tanya lagi dan hanya dikabari kalau stock pouch ternyata sudah habis padahal baik baik dan sabar ikutin prosedur dari customer service karena masih berpikiran positif ternyata begini caranya ya,Negatif
1,kali ini pengemasan tidak safe sepertinya tutup botol tidak kencang sehingga toner merembes keluar sampai dus basah saya memang tidak membuat video unboxing karna saya selalu mendapat produk dan packaging yg bagus dari avoskin saya kira dus basah karna hujan pas dibuka ternyata botol sudah kosong semoga mendapat tanggapan dari avoskin,Negatif
2,paket datangnya barang sudah pecah dan sy return ke seller sudah ikuti komplain proses dan lain sebagainya tapi malah akhirnya tiba seakan akan pesanan selesai sy terima barang dan uangnya dilepas ke seller sy kecewa sekali dan jd agak trauma untuk beli barang ksini chat seller untuk nanyain brg ud diterima tp dijawab formalitas saja baru kali ini sy belanja brg tidak diterima tp uang tidak kembali mungkin uangnya ga seberapa cuman krn responsnya yg mengecewakan mohon improvement untuk selanjutnya thx,Negatif
3,ga ada sabun nya ga sesuai deskripsi,Negatif
4,ga sesuai harapan,Negatif
5,bagus bgt buat kulit oily menghikangkan bruntusan dan mengecilkan pori,Positif
6,gak perlu diragukan lagi sih ini produk worth to buy pengiriman cepat packagingnya yg super aman thx seller,Positif
7,barang diterima dg baik dan expired la,Positif
8,bru nyoba,Netral
9,mudah mudahan cocok karena reviewnya bagus,Netral
10,mantap,Positif
11,bismillah smga cocok,Positif
12,kecewa banget pokoknya,Negatif
13,kecewaaaaa pengiriman lama wajah jadi breakout gatau harus gimana lagi ga ngerti,Negatif
14,ok smoga cocok,Positif
15,ok blom dcobain,Netral
16,udah langganan karna cocok pakai serum ini thanks seller,Positif
17,serumnya bener bener cair banget ini pemakaian selama hari tapi belum berasa bangt efeknya,Netral
18,mantab pake banget tp perjalanan pengiriman lam bgt,Netral
19,belum dicoba ngabisin dlu yg laen next bakal review klo ada hasilnya,Netral
20,cocok bngt buat oily skin kyk aku,Positif
21,baru sekali pake udh kerasa halus dimuka,Positif
22,barangnya gapernah sampe dari tanggal karna ilang kesalahan anteraja jadi gatau harus review apa,Netral
23,beli ini beserta skin care yg lain nya tapitidak pernah menerima sheet mask ini complaint lama banget dan ujung ujung nya tidak bisa ditindak lanjuti kecewa banget,Negatif
24,harusnya dpt free sesuai jam ordernya udah buru cekout biar ga habis pesenan  yg dtg cuma produk nya free nya ga dapat asli kecewa dan baru ngalamin yg ginian,Negatif
25,melembabkan banget teksturnya kental tp cepet banget nyerepnya,Netral
26,packaging nya jelek banget ini sih kyk nya ad oknum yg mau ngambil barangnya kardusnya di buka di bagian samping yg ga di segel tolong next nya packing lbh baik lagi,Negatif
27,tertipu tidak ada gratis hadiah sarung seperti di gambar,Negatif
28,dijanjikan expired th tapi dapetnyabulan,Negatif
29,pesen masker yang dikirim my bad ga di video unboxing nya tapi kecewa banget bisa lalai bgt team packing nya please kerja yg fokus dan bener biar customer ga dirugikan begini ga semua orang sempet bikin video unboxing begitu so sorry kasih bintang karna beneran kecewa buat customer yang lain kalo baca ini please be more careful ya kalo pesen disini sesibuk apapun sempetin video unboxing,Negatif
30,bahan ringan smg cocok,Positif
31,tipe kulitku berminyak,Netral
32,ringan bgt dibibir lup lup dh bwt azarine,Netral
33,no review found,Netral
34,kali ini paket white series yg dtng cmn harusnya udh komplain tpi ngga direspon samsek pantes didalam paket ada kertas cara ngajuin komplain trnyata emng ga beres isinya,Negatif
35,tidak sampai barang nya,Negatif
36,bikin bruntusan yg geleuh muka jadi keliatan dan kerasa kotor bgt ewh udh pake sunscreen dan toner yg soft light gitu no deh bener kata org ini buat kulit sensitif dan kering jangan pake akhirnya buat tangan dan area tubuh yg gelap aja deh,Negatif
37,serumnya ga dikirim,Negatif
38,baru pertama coba dan udah dipake beberapa hari sunscreennya bagus banget cocok buat acne face kuu ga lengket sama sekali,Positif
39,love banget makasih azarine tadinya beli karena dapet pc tapi ternyata emang bagus banget velvety lippie cream nyaa dan walau ga cocok warm tone ini bagus banget di akuu,Positif
40,pertama kali coba elum tau si,Netral
41,realpict sukses selalu seller,Positif
42,smuaa ok cuma ky nya kulitku yg ga cocok sm sunscreennya ngerasa lengket bgt makenya so sorry,Netral
43,baru pertama coba semoga cocok pengemasan cepat dan aman pengiriman cepat,Positif
44,saya pesen dua paket twin pack dan lg yg ini harusanya saya terima produk tp saya hanya terima saya tidak sempat melakukan video unboxing jd td bisa klaim mohon untuk setelahnya lbh berhati dan memperhatikan produk yg akan dikirim apa sudah sesuai dgn pesanan atau blm,Negatif
45,pelayanan admin nya jelek,Negatif
46,agak kesel ya aku udah nunggu barangnya dan yang dateng salah dong produknya mana di bungkusnya sesuai sama produk yang aku pesen alhasil aku buka tanpa di video tolong banget kalau semisal packing di cek dulu jangan salah kirim kaya gini selain rugi di harga aku juga jadi kehilangan kepercayaan sama ini toko mana lama juga mana ini fotonya ga bisa dilampirkan pula ada tulisan ada gangguan di rumah toped gatau deh serah di cek aja di data gudang seharusnya data pembelian dan produk yang ada di gudang jumlahnya beda,Negatif
47,barang yang dikirim cuman harusnya karena saya beli twin pack,Negatif
48,saya sudah pake harian di wajah saya jadi berminyak merah dan jadi beruntusan,Negatif
49,sesuai deskripsi,Positif
50,tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,Netral
51,agak kecewa sm pengemasannya kardusnya peyok dalemnya gak ada bubble wrap biasanya ada bubble wrap nya untung paketnya aman,Negatif
52,tipe kulitku kering,Netral
53,cocok sama produknya,Positif
