,Review,Review_norm,review_tokens,review_tokens_SR,review_tokens_stemmed
0,kecewa banget saya pesan yang free pouch tapi dikirimnya cotton pad kaget pas unboxing untung di videokan segera kabarin customer servicenya dan disuruh isi googleform untuk dikirimkan ulang pouchnya setelah hari nggak ada kabar akhirnya saya tanya lagi dan hanya dikabari kalau stock pouch ternyata sudah habis padahal baik baik dan sabar ikutin prosedur dari customer service karena masih berpikiran positif ternyata begini caranya ya,kecewa banget saya pesan yang free pouch tapi dikirimnya cotton pad kaget pas unboxing untung di videokan segera kabarin customer servicenya dan disuruh isi googleform untuk dikirimkan ulang pouchnya setelah hari enggak ada kabar akhirnya saya tanya lagi dan hanya dikabari kalau stock pouch ternyata sudah habis padahal baik baik dan sabar mengikuti prosedur dari customer service karena masih berpikiran positif ternyata begini caranya ya,"['kecewa', 'banget', 'saya', 'pesan', 'yang', 'free', 'pouch', 'tapi', 'dikirimnya', 'cotton', 'pad', 'kaget', 'pas', 'unboxing', 'untung', 'di', 'videokan', 'segera', 'kabarin', 'customer', 'servicenya', 'dan', 'disuruh', 'isi', 'googleform', 'untuk', 'dikirimkan', 'ulang', 'pouchnya', 'setelah', 'hari', 'enggak', 'ada', 'kabar', 'akhirnya', 'saya', 'tanya', 'lagi', 'dan', 'hanya', 'dikabari', 'kalau', 'stock', 'pouch', 'ternyata', 'sudah', 'habis', 'padahal', 'baik', 'baik', 'dan', 'sabar', 'mengikuti', 'prosedur', 'dari', 'customer', 'service', 'karena', 'masih', 'berpikiran', 'positif', 'ternyata', 'begini', 'caranya', 'ya']","['kecewa', 'banget', 'pesan', 'free', 'pouch', 'dikirimnya', 'cotton', 'pad', 'kaget', 'pas', 'unboxing', 'untung', 'videokan', 'kabarin', 'customer', 'servicenya', 'disuruh', 'isi', 'googleform', 'dikirimkan', 'ulang', 'pouchnya', 'kabar', 'dikabari', 'stock', 'pouch', 'habis', 'sabar', 'mengikuti', 'prosedur', 'customer', 'service', 'berpikiran', 'positif', 'ya']","['kecewa', 'banget', 'pesan', 'free', 'pouch', 'kirim', 'cotton', 'pad', 'kaget', 'pas', 'unboxing', 'untung', 'video', 'kabarin', 'customer', 'servicenya', 'suruh', 'isi', 'googleform', 'kirim', 'ulang', 'pouchnya', 'kabar', 'kabar', 'stock', 'pouch', 'habis', 'sabar', 'ikut', 'prosedur', 'customer', 'service', 'pikir', 'positif', 'ya']"
1,kali ini pengemasan tidak safe sepertinya tutup botol tidak kencang sehingga toner merembes keluar sampai dus basah saya memang tidak membuat video unboxing karna saya selalu mendapat produk dan packaging yg bagus dari avoskin saya kira dus basah karna hujan pas dibuka ternyata botol sudah kosong semoga mendapat tanggapan dari avoskin,kali ini pengemasan tidak safe sepertinya tutup botol tidak kencang sehingga toner merembes keluar sampai dus basah saya memang tidak membuat video unboxing karena saya selalu mendapat produk dan packaging yang bagus dari avoskin saya kira dus basah karena hujan pas dibuka ternyata botol sudah kosong semoga mendapat tanggapan dari avoskin,"['kali', 'ini', 'pengemasan', 'tidak', 'safe', 'sepertinya', 'tutup', 'botol', 'tidak', 'kencang', 'sehingga', 'toner', 'merembes', 'keluar', 'sampai', 'dus', 'basah', 'saya', 'memang', 'tidak', 'membuat', 'video', 'unboxing', 'karena', 'saya', 'selalu', 'mendapat', 'produk', 'dan', 'packaging', 'yang', 'bagus', 'dari', 'avoskin', 'saya', 'kira', 'dus', 'basah', 'karena', 'hujan', 'pas', 'dibuka', 'ternyata', 'botol', 'sudah', 'kosong', 'semoga', 'mendapat', 'tanggapan', 'dari', 'avoskin']","['kali', 'pengemasan', 'safe', 'tutup', 'botol', 'kencang', 'toner', 'merembes', 'dus', 'basah', 'video', 'unboxing', 'produk', 'packaging', 'bagus', 'avoskin', 'dus', 'basah', 'hujan', 'pas', 'dibuka', 'botol', 'kosong', 'semoga', 'tanggapan', 'avoskin']","['kali', 'emas', 'safe', 'tutup', 'botol', 'kencang', 'toner', 'rembes', 'dus', 'basah', 'video', 'unboxing', 'produk', 'packaging', 'bagus', 'avoskin', 'dus', 'basah', 'hujan', 'pas', 'buka', 'botol', 'kosong', 'moga', 'tanggap', 'avoskin']"
2,paket datangnya barang sudah pecah dan sy return ke seller sudah ikuti komplain proses dan lain sebagainya tapi malah akhirnya tiba seakan akan pesanan selesai sy terima barang dan uangnya dilepas ke seller sy kecewa sekali dan jd agak trauma untuk beli barang ksini chat seller untuk nanyain brg ud diterima tp dijawab formalitas saja baru kali ini sy belanja brg tidak diterima tp uang tidak kembali mungkin uangnya ga seberapa cuman krn responsnya yg mengecewakan mohon improvement untuk selanjutnya thx,paket datangnya barang sudah pecah dan saya return ke seller sudah ikuti komplain proses dan lain sebagainya tapi malah akhirnya tiba seakan akan pesanan selesai saya terima barang dan uangnya dilepas ke seller saya kecewa sekali dan jadi agak trauma untuk beli barang kesini chat seller untuk nanyain barang sudah diterima tapi dijawab formalitas saja baru kali ini saya belanja barang tidak diterima tapi uang tidak kembali mungkin uangnya enggak seberapa cuman karena responsnya yang mengecewakan mohon improvement untuk selanjutnya thanks,"['paket', 'datangnya', 'barang', 'sudah', 'pecah', 'dan', 'saya', 'return', 'ke', 'seller', 'sudah', 'ikuti', 'komplain', 'proses', 'dan', 'lain', 'sebagainya', 'tapi', 'malah', 'akhirnya', 'tiba', 'seakan', 'akan', 'pesanan', 'selesai', 'saya', 'terima', 'barang', 'dan', 'uangnya', 'dilepas', 'ke', 'seller', 'saya', 'kecewa', 'sekali', 'dan', 'jadi', 'agak', 'trauma', 'untuk', 'beli', 'barang', 'kesini', 'chat', 'seller', 'untuk', 'nanyain', 'barang', 'sudah', 'diterima', 'tapi', 'dijawab', 'formalitas', 'saja', 'baru', 'kali', 'ini', 'saya', 'belanja', 'barang', 'tidak', 'diterima', 'tapi', 'uang', 'tidak', 'kembali', 'mungkin', 'uangnya', 'enggak', 'seberapa', 'cuman', 'karena', 'responsnya', 'yang', 'mengecewakan', 'mohon', 'improvement', 'untuk', 'selanjutnya', 'thanks']","['paket', 'datangnya', 'barang', 'pecah', 'return', 'seller', 'ikuti', 'komplain', 'proses', 'seakan', 'pesanan', 'selesai', 'terima', 'barang', 'uangnya', 'dilepas', 'seller', 'kecewa', 'trauma', 'beli', 'barang', 'kesini', 'chat', 'seller', 'nanyain', 'barang', 'diterima', 'formalitas', 'kali', 'belanja', 'barang', 'diterima', 'uang', 'uangnya', 'cuman', 'responsnya', 'mengecewakan', 'mohon', 'improvement', 'thanks']","['paket', 'datang', 'barang', 'pecah', 'return', 'seller', 'ikut', 'komplain', 'proses', 'akan', 'pesan', 'selesai', 'terima', 'barang', 'uang', 'lepas', 'seller', 'kecewa', 'trauma', 'beli', 'barang', 'kesini', 'chat', 'seller', 'nanyain', 'barang', 'terima', 'formalitas', 'kali', 'belanja', 'barang', 'terima', 'uang', 'uang', 'cuman', 'respons', 'kecewa', 'mohon', 'improvement', 'thanks']"
3,ga ada sabun nya ga sesuai deskripsi,enggak ada sabun nya enggak sesuai deskripsi,"['enggak', 'ada', 'sabun', 'nya', 'enggak', 'sesuai', 'deskripsi']","['sabun', 'nya', 'sesuai', 'deskripsi']","['sabun', 'nya', 'sesuai', 'deskripsi']"
4,ga sesuai harapan,enggak sesuai harapan,"['enggak', 'sesuai', 'harapan']","['sesuai', 'harapan']","['sesuai', 'harap']"
5,nyesal beli disini,nyesal beli disini,"['nyesal', 'beli', 'disini']","['nyesal', 'beli']","['nyesal', 'beli']"
6,ga jelas,enggak jelas,"['enggak', 'jelas']",[],[]
7,kalau ga da free ny di infokan lagi jangan asal acc aja,kalau enggak dah free nya di infokan lagi jangan asal acc saja,"['kalau', 'enggak', 'dah', 'free', 'nya', 'di', 'infokan', 'lagi', 'jangan', 'asal', 'acc', 'saja']","['dah', 'free', 'nya', 'infokan', 'acc']","['dah', 'free', 'nya', 'info', 'acc']"
8,yang sebelumnya ada bekas jerawat malah jadi muncul di bagian yang ga pernah jerawat malah jadi jerawatan terus muncul bruntusan di beberapa bagian,yang sebelumnya ada bekas jerawat malah jadi muncul di bagian yang enggak pernah jerawat malah jadi jerawatan terus muncul bruntusan di beberapa bagian,"['yang', 'sebelumnya', 'ada', 'bekas', 'jerawat', 'malah', 'jadi', 'muncul', 'di', 'bagian', 'yang', 'enggak', 'pernah', 'jerawat', 'malah', 'jadi', 'jerawatan', 'terus', 'muncul', 'bruntusan', 'di', 'beberapa', 'bagian']","['bekas', 'jerawat', 'muncul', 'jerawat', 'jerawatan', 'muncul', 'bruntusan']","['bekas', 'jerawat', 'muncul', 'jerawat', 'jerawat', 'muncul', 'bruntusan']"
9,cukup kecewa,cukup kecewa,"['cukup', 'kecewa']",['kecewa'],['kecewa']
10,sayang banget,sayang banget,"['sayang', 'banget']","['sayang', 'banget']","['sayang', 'banget']"
11,mohon maaf tapi masih kurang,mohon maaf tapi masih kurang,"['mohon', 'maaf', 'tapi', 'masih', 'kurang']","['mohon', 'maaf']","['mohon', 'maaf']"
12,hasil pemakaian di apply biasa muncul whitecas di tap tap kok malah sperti itu ya,hasil pemakaian di apply biasa muncul whitecas di tapi tapi kok malah seperti itu ya,"['hasil', 'pemakaian', 'di', 'apply', 'biasa', 'muncul', 'whitecas', 'di', 'tapi', 'tapi', 'kok', 'malah', 'seperti', 'itu', 'ya']","['hasil', 'pemakaian', 'apply', 'muncul', 'whitecas', 'ya']","['hasil', 'pakai', 'apply', 'muncul', 'whitecas', 'ya']"
13,sejauh ini cukup mengecewakan,sejauh ini cukup mengecewakan,"['sejauh', 'ini', 'cukup', 'mengecewakan']",['mengecewakan'],['kecewa']
14,isinya cuma angin doang,isinya cuma angin doang,"['isinya', 'cuma', 'angin', 'doang']","['isinya', 'angin', 'doang']","['isi', 'angin', 'doang']"
15,udah di pencet ga keluar isinya,sudah di pencet enggak keluar isinya,"['sudah', 'di', 'pencet', 'enggak', 'keluar', 'isinya']","['pencet', 'isinya']","['pencet', 'isi']"
16,khusus ss agak kecewa susah keluar heran kenapa ngga ada versi besarnya juga ss nya,khusus ss agak kecewa susah keluar heran kenapa enggak ada versi besarnya juga ss nya,"['khusus', 'ss', 'agak', 'kecewa', 'susah', 'keluar', 'heran', 'kenapa', 'enggak', 'ada', 'versi', 'besarnya', 'juga', 'ss', 'nya']","['khusus', 'ss', 'kecewa', 'susah', 'heran', 'versi', 'besarnya', 'ss', 'nya']","['khusus', 'ss', 'kecewa', 'susah', 'heran', 'versi', 'besar', 'ss', 'nya']"
17,minta cancel krn slah pesen gk mau cancel padahal bs balasin message inbox,meminta cancel karena salah pesan enggak mau cancel padahal bisa balasin message inbox,"['meminta', 'cancel', 'karena', 'salah', 'pesan', 'enggak', 'mau', 'cancel', 'padahal', 'bisa', 'balasin', 'message', 'inbox']","['cancel', 'salah', 'pesan', 'cancel', 'balasin', 'message', 'inbox']","['cancel', 'salah', 'pesan', 'cancel', 'balasin', 'message', 'inbox']"
18,kalau memang gabisa dicancel bilang aja gabisa admin jangan suruh nunggu batal otomatis taunya udah tinggal jam lg batal malah diproses konfirmasi sampe ke admin hasilnya ga dicancel malah dikirim kalau mau habisin stock ya blg aja gausah suruh nunggu lah apa lah service tidak professional padahal official store belanja di official store lain gapernah ribet masalah cancel hanya di avoskin saja yang baru kayak gini poor service,kalau memang enggak bisa dicancel bilang saja enggak bisa admin jangan suruh menunggu batal otomatis taunya sudah tinggal jam lagi batal malah diproses konfirmasi sampai ke admin hasilnya enggak dicancel malah dikirim kalau mau habisin stock ya bilang saja enggak usah suruh menunggu lah apa lah service tidak professional padahal official store belanja di official store lain enggak pernah ribet masalah cancel hanya di avoskin saja yang baru kayak begini poor service,"['kalau', 'memang', 'enggak', 'bisa', 'dicancel', 'bilang', 'saja', 'enggak', 'bisa', 'admin', 'jangan', 'suruh', 'menunggu', 'batal', 'otomatis', 'taunya', 'sudah', 'tinggal', 'jam', 'lagi', 'batal', 'malah', 'diproses', 'konfirmasi', 'sampai', 'ke', 'admin', 'hasilnya', 'enggak', 'dicancel', 'malah', 'dikirim', 'kalau', 'mau', 'habisin', 'stock', 'ya', 'bilang', 'saja', 'enggak', 'usah', 'suruh', 'menunggu', 'lah', 'apa', 'lah', 'service', 'tidak', 'professional', 'padahal', 'official', 'store', 'belanja', 'di', 'official', 'store', 'lain', 'enggak', 'pernah', 'ribet', 'masalah', 'cancel', 'hanya', 'di', 'avoskin', 'saja', 'yang', 'baru', 'kayak', 'begini', 'poor', 'service']","['dicancel', 'bilang', 'admin', 'suruh', 'menunggu', 'batal', 'otomatis', 'taunya', 'tinggal', 'jam', 'batal', 'diproses', 'konfirmasi', 'admin', 'hasilnya', 'dicancel', 'dikirim', 'habisin', 'stock', 'ya', 'bilang', 'suruh', 'menunggu', 'service', 'professional', 'official', 'store', 'belanja', 'official', 'store', 'ribet', 'cancel', 'avoskin', 'kayak', 'poor', 'service']","['dicancel', 'bilang', 'admin', 'suruh', 'tunggu', 'batal', 'otomatis', 'tau', 'tinggal', 'jam', 'batal', 'proses', 'konfirmasi', 'admin', 'hasil', 'dicancel', 'kirim', 'habisin', 'stock', 'ya', 'bilang', 'suruh', 'tunggu', 'service', 'professional', 'official', 'store', 'belanja', 'official', 'store', 'ribet', 'cancel', 'avoskin', 'kayak', 'poor', 'service']"
19,dapat retinol sheet mask yg klau beli di seller lain cuma berkisar rb,dapat retinol sheet mask yang kalau beli di seller lain cuma berkisar ribu,"['dapat', 'retinol', 'sheet', 'mask', 'yang', 'kalau', 'beli', 'di', 'seller', 'lain', 'cuma', 'berkisar', 'ribu']","['retinol', 'sheet', 'mask', 'beli', 'seller', 'berkisar', 'ribu']","['retinol', 'sheet', 'mask', 'beli', 'seller', 'kisar', 'ribu']"
20,sekelas avoskin yg hits kasi mystery box ke pembeli gini banget sheetmask beli di sebelah cuman rb tokopedia please saring lagi lah klo mau ajakin brand bikin mystery box brand lain lebih niat,sekelas avoskin yang hits kasih mystery box ke pembeli begini banget sheetmask beli di sebelah cuman ribu tokopedia please saring lagi lah kalo mau mengajak brand bikin mystery box brand lain lebih niat,"['sekelas', 'avoskin', 'yang', 'hits', 'kasih', 'mystery', 'box', 'ke', 'pembeli', 'begini', 'banget', 'sheetmask', 'beli', 'di', 'sebelah', 'cuman', 'ribu', 'tokopedia', 'please', 'saring', 'lagi', 'lah', 'kalo', 'mau', 'mengajak', 'brand', 'bikin', 'mystery', 'box', 'brand', 'lain', 'lebih', 'niat']","['sekelas', 'avoskin', 'hits', 'kasih', 'mystery', 'box', 'pembeli', 'banget', 'sheetmask', 'beli', 'sebelah', 'cuman', 'ribu', 'tokopedia', 'please', 'saring', 'kalo', 'mengajak', 'brand', 'bikin', 'mystery', 'box', 'brand', 'niat']","['kelas', 'avoskin', 'hits', 'kasih', 'mystery', 'box', 'beli', 'banget', 'sheetmask', 'beli', 'belah', 'cuman', 'ribu', 'tokopedia', 'please', 'saring', 'kalo', 'ajak', 'brand', 'bikin', 'mystery', 'box', 'brand', 'niat']"
21,kecewa banget pokoknya,kecewa banget pokoknya,"['kecewa', 'banget', 'pokoknya']","['kecewa', 'banget', 'pokoknya']","['kecewa', 'banget', 'pokok']"
22,kecewaaaaa pengiriman lama wajah jadi breakout gatau harus gimana lagi ga ngerti,kecewaaaaa pengiriman lama wajah jadi breakout enggak tau harus bagaimana lagi enggak mengerti,"['kecewaaaaa', 'pengiriman', 'lama', 'wajah', 'jadi', 'breakout', 'enggak', 'tau', 'harus', 'bagaimana', 'lagi', 'enggak', 'mengerti']","['kecewaaaaa', 'pengiriman', 'wajah', 'breakout', 'tau', 'mengerti']","['kecewaaaaa', 'kirim', 'wajah', 'breakout', 'tau', 'erti']"
23,muka lamgsung breakout pake avoskin ini udah pengiriman lama banget terus sekalinya pake malah bikin breakout,muka lamgsung breakout pakai avoskin ini sudah pengiriman lama banget terus sekalinya pakai malah bikin breakout,"['muka', 'lamgsung', 'breakout', 'pakai', 'avoskin', 'ini', 'sudah', 'pengiriman', 'lama', 'banget', 'terus', 'sekalinya', 'pakai', 'malah', 'bikin', 'breakout']","['muka', 'lamgsung', 'breakout', 'pakai', 'avoskin', 'pengiriman', 'banget', 'sekalinya', 'pakai', 'bikin', 'breakout']","['muka', 'lamgsung', 'breakout', 'pakai', 'avoskin', 'kirim', 'banget', 'sekali', 'pakai', 'bikin', 'breakout']"
