,Review,Review_norm,review_tokens,review_tokens_SR,review_tokens_stemmed
0,kecewa banget saya pesan yang free pouch tapi dikirimnya cotton pad kaget pas unboxing untung di videokan segera kabarin customer servicenya dan disuruh isi googleform untuk dikirimkan ulang pouchnya setelah hari nggak ada kabar akhirnya saya tanya lagi dan hanya dikabari kalau stock pouch ternyata sudah habis padahal baik baik dan sabar ikutin prosedur dari customer service karena masih berpikiran positif ternyata begini caranya ya,kecewa banget saya pesan yang free pouch tapi dikirimnya cotton pad kaget pas unboxing untung di videokan segera kabarin customer servicenya dan disuruh isi googleform untuk dikirimkan ulang pouchnya setelah hari enggak ada kabar akhirnya saya tanya lagi dan hanya dikabari kalau stock pouch ternyata sudah habis padahal baik baik dan sabar mengikuti prosedur dari customer service karena masih berpikiran positif ternyata begini caranya ya,"['kecewa', 'banget', 'saya', 'pesan', 'yang', 'free', 'pouch', 'tapi', 'dikirimnya', 'cotton', 'pad', 'kaget', 'pas', 'unboxing', 'untung', 'di', 'videokan', 'segera', 'kabarin', 'customer', 'servicenya', 'dan', 'disuruh', 'isi', 'googleform', 'untuk', 'dikirimkan', 'ulang', 'pouchnya', 'setelah', 'hari', 'enggak', 'ada', 'kabar', 'akhirnya', 'saya', 'tanya', 'lagi', 'dan', 'hanya', 'dikabari', 'kalau', 'stock', 'pouch', 'ternyata', 'sudah', 'habis', 'padahal', 'baik', 'baik', 'dan', 'sabar', 'mengikuti', 'prosedur', 'dari', 'customer', 'service', 'karena', 'masih', 'berpikiran', 'positif', 'ternyata', 'begini', 'caranya', 'ya']","['kecewa', 'banget', 'pesan', 'free', 'pouch', 'dikirimnya', 'cotton', 'pad', 'kaget', 'pas', 'unboxing', 'untung', 'videokan', 'kabarin', 'customer', 'servicenya', 'disuruh', 'isi', 'googleform', 'dikirimkan', 'ulang', 'pouchnya', 'kabar', 'dikabari', 'stock', 'pouch', 'habis', 'sabar', 'mengikuti', 'prosedur', 'customer', 'service', 'berpikiran', 'positif', 'ya']","['kecewa', 'banget', 'pesan', 'free', 'pouch', 'kirim', 'cotton', 'pad', 'kaget', 'pas', 'unboxing', 'untung', 'video', 'kabarin', 'customer', 'servicenya', 'suruh', 'isi', 'googleform', 'kirim', 'ulang', 'pouchnya', 'kabar', 'kabar', 'stock', 'pouch', 'habis', 'sabar', 'ikut', 'prosedur', 'customer', 'service', 'pikir', 'positif', 'ya']"
1,kali ini pengemasan tidak safe sepertinya tutup botol tidak kencang sehingga toner merembes keluar sampai dus basah saya memang tidak membuat video unboxing karna saya selalu mendapat produk dan packaging yg bagus dari avoskin saya kira dus basah karna hujan pas dibuka ternyata botol sudah kosong semoga mendapat tanggapan dari avoskin,kali ini pengemasan tidak safe sepertinya tutup botol tidak kencang sehingga toner merembes keluar sampai dus basah saya memang tidak membuat video unboxing karena saya selalu mendapat produk dan packaging yang bagus dari avoskin saya kira dus basah karena hujan pas dibuka ternyata botol sudah kosong semoga mendapat tanggapan dari avoskin,"['kali', 'ini', 'pengemasan', 'tidak', 'safe', 'sepertinya', 'tutup', 'botol', 'tidak', 'kencang', 'sehingga', 'toner', 'merembes', 'keluar', 'sampai', 'dus', 'basah', 'saya', 'memang', 'tidak', 'membuat', 'video', 'unboxing', 'karena', 'saya', 'selalu', 'mendapat', 'produk', 'dan', 'packaging', 'yang', 'bagus', 'dari', 'avoskin', 'saya', 'kira', 'dus', 'basah', 'karena', 'hujan', 'pas', 'dibuka', 'ternyata', 'botol', 'sudah', 'kosong', 'semoga', 'mendapat', 'tanggapan', 'dari', 'avoskin']","['kali', 'pengemasan', 'safe', 'tutup', 'botol', 'kencang', 'toner', 'merembes', 'dus', 'basah', 'video', 'unboxing', 'produk', 'packaging', 'bagus', 'avoskin', 'dus', 'basah', 'hujan', 'pas', 'dibuka', 'botol', 'kosong', 'semoga', 'tanggapan', 'avoskin']","['kali', 'emas', 'safe', 'tutup', 'botol', 'kencang', 'toner', 'rembes', 'dus', 'basah', 'video', 'unboxing', 'produk', 'packaging', 'bagus', 'avoskin', 'dus', 'basah', 'hujan', 'pas', 'buka', 'botol', 'kosong', 'moga', 'tanggap', 'avoskin']"
2,paket datangnya barang sudah pecah dan sy return ke seller sudah ikuti komplain proses dan lain sebagainya tapi malah akhirnya tiba seakan akan pesanan selesai sy terima barang dan uangnya dilepas ke seller sy kecewa sekali dan jd agak trauma untuk beli barang ksini chat seller untuk nanyain brg ud diterima tp dijawab formalitas saja baru kali ini sy belanja brg tidak diterima tp uang tidak kembali mungkin uangnya ga seberapa cuman krn responsnya yg mengecewakan mohon improvement untuk selanjutnya thx,paket datangnya barang sudah pecah dan saya return ke seller sudah ikuti komplain proses dan lain sebagainya tapi malah akhirnya tiba seakan akan pesanan selesai saya terima barang dan uangnya dilepas ke seller saya kecewa sekali dan jadi agak trauma untuk beli barang kesini chat seller untuk nanyain barang sudah diterima tapi dijawab formalitas saja baru kali ini saya belanja barang tidak diterima tapi uang tidak kembali mungkin uangnya enggak seberapa cuman karena responsnya yang mengecewakan mohon improvement untuk selanjutnya thanks,"['paket', 'datangnya', 'barang', 'sudah', 'pecah', 'dan', 'saya', 'return', 'ke', 'seller', 'sudah', 'ikuti', 'komplain', 'proses', 'dan', 'lain', 'sebagainya', 'tapi', 'malah', 'akhirnya', 'tiba', 'seakan', 'akan', 'pesanan', 'selesai', 'saya', 'terima', 'barang', 'dan', 'uangnya', 'dilepas', 'ke', 'seller', 'saya', 'kecewa', 'sekali', 'dan', 'jadi', 'agak', 'trauma', 'untuk', 'beli', 'barang', 'kesini', 'chat', 'seller', 'untuk', 'nanyain', 'barang', 'sudah', 'diterima', 'tapi', 'dijawab', 'formalitas', 'saja', 'baru', 'kali', 'ini', 'saya', 'belanja', 'barang', 'tidak', 'diterima', 'tapi', 'uang', 'tidak', 'kembali', 'mungkin', 'uangnya', 'enggak', 'seberapa', 'cuman', 'karena', 'responsnya', 'yang', 'mengecewakan', 'mohon', 'improvement', 'untuk', 'selanjutnya', 'thanks']","['paket', 'datangnya', 'barang', 'pecah', 'return', 'seller', 'ikuti', 'komplain', 'proses', 'seakan', 'pesanan', 'selesai', 'terima', 'barang', 'uangnya', 'dilepas', 'seller', 'kecewa', 'trauma', 'beli', 'barang', 'kesini', 'chat', 'seller', 'nanyain', 'barang', 'diterima', 'formalitas', 'kali', 'belanja', 'barang', 'diterima', 'uang', 'uangnya', 'cuman', 'responsnya', 'mengecewakan', 'mohon', 'improvement', 'thanks']","['paket', 'datang', 'barang', 'pecah', 'return', 'seller', 'ikut', 'komplain', 'proses', 'akan', 'pesan', 'selesai', 'terima', 'barang', 'uang', 'lepas', 'seller', 'kecewa', 'trauma', 'beli', 'barang', 'kesini', 'chat', 'seller', 'nanyain', 'barang', 'terima', 'formalitas', 'kali', 'belanja', 'barang', 'terima', 'uang', 'uang', 'cuman', 'respons', 'kecewa', 'mohon', 'improvement', 'thanks']"
3,ga ada sabun nya ga sesuai deskripsi,enggak ada sabun nya enggak sesuai deskripsi,"['enggak', 'ada', 'sabun', 'nya', 'enggak', 'sesuai', 'deskripsi']","['sabun', 'nya', 'sesuai', 'deskripsi']","['sabun', 'nya', 'sesuai', 'deskripsi']"
4,ga sesuai harapan,enggak sesuai harapan,"['enggak', 'sesuai', 'harapan']","['sesuai', 'harapan']","['sesuai', 'harap']"
5,nyesal beli disini,nyesal beli disini,"['nyesal', 'beli', 'disini']","['nyesal', 'beli']","['nyesal', 'beli']"
6,ga jelas,enggak jelas,"['enggak', 'jelas']",[],[]
7,kalau ga da free ny di infokan lagi jangan asal acc aja,kalau enggak dah free nya di infokan lagi jangan asal acc saja,"['kalau', 'enggak', 'dah', 'free', 'nya', 'di', 'infokan', 'lagi', 'jangan', 'asal', 'acc', 'saja']","['dah', 'free', 'nya', 'infokan', 'acc']","['dah', 'free', 'nya', 'info', 'acc']"
8,yang sebelumnya ada bekas jerawat malah jadi muncul di bagian yang ga pernah jerawat malah jadi jerawatan terus muncul bruntusan di beberapa bagian,yang sebelumnya ada bekas jerawat malah jadi muncul di bagian yang enggak pernah jerawat malah jadi jerawatan terus muncul bruntusan di beberapa bagian,"['yang', 'sebelumnya', 'ada', 'bekas', 'jerawat', 'malah', 'jadi', 'muncul', 'di', 'bagian', 'yang', 'enggak', 'pernah', 'jerawat', 'malah', 'jadi', 'jerawatan', 'terus', 'muncul', 'bruntusan', 'di', 'beberapa', 'bagian']","['bekas', 'jerawat', 'muncul', 'jerawat', 'jerawatan', 'muncul', 'bruntusan']","['bekas', 'jerawat', 'muncul', 'jerawat', 'jerawat', 'muncul', 'bruntusan']"
9,cukup kecewa,cukup kecewa,"['cukup', 'kecewa']",['kecewa'],['kecewa']
10,pesen yang special edition dikirim yang biasa,pesan yang special edition dikirim yang biasa,"['pesan', 'yang', 'special', 'edition', 'dikirim', 'yang', 'biasa']","['pesan', 'special', 'edition', 'dikirim']","['pesan', 'special', 'edition', 'kirim']"
11,pesen retinol dikirim refining,pesan retinol dikirim refining,"['pesan', 'retinol', 'dikirim', 'refining']","['pesan', 'retinol', 'dikirim', 'refining']","['pesan', 'retinol', 'kirim', 'refining']"
12,barang ga kekirim respon admin kurang memuaskan mohon maaf,barang enggak kekirim respon admin kurang memuaskan mohon maaf,"['barang', 'enggak', 'kekirim', 'respon', 'admin', 'kurang', 'memuaskan', 'mohon', 'maaf']","['barang', 'kekirim', 'respon', 'admin', 'memuaskan', 'mohon', 'maaf']","['barang', 'kirim', 'respon', 'admin', 'muas', 'mohon', 'maaf']"
13,iritasi,iritasi,['iritasi'],['iritasi'],['iritasi']
14,ternyata berat hanya gr sama kemasan gr,ternyata berat hanya gram sama kemasan gram,"['ternyata', 'berat', 'hanya', 'gram', 'sama', 'kemasan', 'gram']","['berat', 'gram', 'kemasan', 'gram']","['berat', 'gram', 'kemas', 'gram']"
15,mini banget ini mah cepat habis kecewa berat,mini banget ini mah cepat habis kecewa berat,"['mini', 'banget', 'ini', 'mah', 'cepat', 'habis', 'kecewa', 'berat']","['mini', 'banget', 'mah', 'cepat', 'habis', 'kecewa', 'berat']","['mini', 'banget', 'mah', 'cepat', 'habis', 'kecewa', 'berat']"
17,ga ada isinya,enggak ada isinya,"['enggak', 'ada', 'isinya']",['isinya'],['isi']
18,hadiahnya ga dikirim kirim sudah nunggu bulan chat penjual dibilanh over load ini sudah mau bulan sangat mengecewakam pembeli percuma chat cs jawabannya sama diulang ulang,hadiahnya enggak dikirim kirim sudah menunggu bulan chat penjual dibilanh over load ini sudah mau bulan sangat mengecewakam pembeli percuma chat customer service jawabannya sama diulang ulang,"['hadiahnya', 'enggak', 'dikirim', 'kirim', 'sudah', 'menunggu', 'bulan', 'chat', 'penjual', 'dibilanh', 'over', 'load', 'ini', 'sudah', 'mau', 'bulan', 'sangat', 'mengecewakam', 'pembeli', 'percuma', 'chat', 'customer', 'service', 'jawabannya', 'sama', 'diulang', 'ulang']","['hadiahnya', 'dikirim', 'kirim', 'menunggu', 'chat', 'penjual', 'dibilanh', 'over', 'load', 'mengecewakam', 'pembeli', 'chat', 'customer', 'service', 'jawabannya', 'diulang', 'ulang']","['hadiah', 'kirim', 'kirim', 'tunggu', 'chat', 'jual', 'dibilanh', 'over', 'load', 'mengecewakam', 'beli', 'chat', 'customer', 'service', 'jawab', 'ulang', 'ulang']"
19,sedih banget ini entah ekspektasi ku ketinggian atau gimana isinya bahkan untuk sekali pakai ruas jari pun ndak cukup ditekan isinya angin semua serius memang segini atau gmna padahal sebelumnya beli di official serum dll ok ok aja isinya penuh udah seneng packagingnya bagus tebel tapi kalau memang isinya cuma segini macam sekali pakai dengan harga diatas  ok sangat tidak rekomen saya jarang banget isi review panjang kali lebar apalagi semengecewakan ini,sedih banget ini entah ekspektasi ku ketinggian atau bagaimana isinya bahkan untuk sekali pakai ruas jari pun indak cukup ditekan isinya angin semua serius memang segini atau bagaimana padahal sebelumnya beli di official serum dll ok ok saja isinya penuh sudah senang packagingnya bagus tebal tapi kalau memang isinya cuma segini macam sekali pakai dengan harga diatas  ok sangat tidak rekomen saya jarang banget isi review panjang kali lebar apalagi semengecewakan ini,"['sedih', 'banget', 'ini', 'entah', 'ekspektasi', 'ku', 'ketinggian', 'atau', 'bagaimana', 'isinya', 'bahkan', 'untuk', 'sekali', 'pakai', 'ruas', 'jari', 'pun', 'indak', 'cukup', 'ditekan', 'isinya', 'angin', 'semua', 'serius', 'memang', 'segini', 'atau', 'bagaimana', 'padahal', 'sebelumnya', 'beli', 'di', 'official', 'serum', 'dll', 'ok', 'ok', 'saja', 'isinya', 'penuh', 'sudah', 'senang', 'packagingnya', 'bagus', 'tebal', 'tapi', 'kalau', 'memang', 'isinya', 'cuma', 'segini', 'macam', 'sekali', 'pakai', 'dengan', 'harga', 'diatas', 'ok', 'sangat', 'tidak', 'rekomen', 'saya', 'jarang', 'banget', 'isi', 'review', 'panjang', 'kali', 'lebar', 'apalagi', 'semengecewakan', 'ini']","['sedih', 'banget', 'ekspektasi', 'ku', 'ketinggian', 'isinya', 'pakai', 'ruas', 'jari', 'indak', 'ditekan', 'isinya', 'angin', 'serius', 'segini', 'beli', 'official', 'serum', 'dll', 'ok', 'ok', 'isinya', 'penuh', 'senang', 'packagingnya', 'bagus', 'tebal', 'isinya', 'segini', 'pakai', 'harga', 'diatas', 'ok', 'rekomen', 'jarang', 'banget', 'isi', 'review', 'kali', 'lebar', 'semengecewakan']","['sedih', 'banget', 'ekspektasi', 'ku', 'tinggi', 'isi', 'pakai', 'ruas', 'jari', 'indak', 'tekan', 'isi', 'angin', 'serius', 'gin', 'beli', 'official', 'serum', 'dll', 'ok', 'ok', 'isi', 'penuh', 'senang', 'packagingnya', 'bagus', 'tebal', 'isi', 'gin', 'pakai', 'harga', 'atas', 'ok', 'rekomen', 'jarang', 'banget', 'isi', 'review', 'kali', 'lebar', 'kecewa']"
20,yang rela beli tengah malam malah ga dapat gift dan harganya lebih mahal sistem online shop paling buruk pantas dapat bintang,yang rela beli tengah malam malah enggak dapat gift dan harganya lebih mahal sistem online shop paling buruk pantas dapat bintang,"['yang', 'rela', 'beli', 'tengah', 'malam', 'malah', 'enggak', 'dapat', 'gift', 'dan', 'harganya', 'lebih', 'mahal', 'sistem', 'online', 'shop', 'paling', 'buruk', 'pantas', 'dapat', 'bintang']","['rela', 'beli', 'malam', 'gift', 'harganya', 'mahal', 'sistem', 'online', 'shop', 'buruk', 'bintang']","['rela', 'beli', 'malam', 'gift', 'harga', 'mahal', 'sistem', 'online', 'shop', 'buruk', 'bintang']"
21,pake ekspedisi yang bener,pakai ekspedisi yang benar,"['pakai', 'ekspedisi', 'yang', 'benar']","['pakai', 'ekspedisi']","['pakai', 'ekspedisi']"
22,tidak ada keterangan detil mengenai ukuran berat isi produk tidak tertulis di deskripsinya bahwa isinya hanya  bahkan di foto produk juga tidak menampilkan keterangan berat dari isi produk,tidak ada keterangan detil mengenai ukuran berat isi produk tidak tertulis di deskripsinya bahwa isinya hanya  bahkan di foto produk juga tidak menampilkan keterangan berat dari isi produk,"['tidak', 'ada', 'keterangan', 'detil', 'mengenai', 'ukuran', 'berat', 'isi', 'produk', 'tidak', 'tertulis', 'di', 'deskripsinya', 'bahwa', 'isinya', 'hanya', 'bahkan', 'di', 'foto', 'produk', 'juga', 'tidak', 'menampilkan', 'keterangan', 'berat', 'dari', 'isi', 'produk']","['keterangan', 'detil', 'ukuran', 'berat', 'isi', 'produk', 'tertulis', 'deskripsinya', 'isinya', 'foto', 'produk', 'menampilkan', 'keterangan', 'berat', 'isi', 'produk']","['terang', 'detil', 'ukur', 'berat', 'isi', 'produk', 'tulis', 'deskripsi', 'isi', 'foto', 'produk', 'tampil', 'terang', 'berat', 'isi', 'produk']"
23,system free gift disini tidak transparan dan sangat membingungkan itulah yang mengecewakan dan layak untuk dpt bintang,system free gift disini tidak transparan dan sangat membingungkan itulah yang mengecewakan dan layak untuk dapat bintang,"['system', 'free', 'gift', 'disini', 'tidak', 'transparan', 'dan', 'sangat', 'membingungkan', 'itulah', 'yang', 'mengecewakan', 'dan', 'layak', 'untuk', 'dapat', 'bintang']","['system', 'free', 'gift', 'transparan', 'membingungkan', 'mengecewakan', 'layak', 'bintang']","['system', 'free', 'gift', 'transparan', 'bingung', 'kecewa', 'layak', 'bintang']"
24,hadiah nya tidak ada,hadiah nya tidak ada,"['hadiah', 'nya', 'tidak', 'ada']","['hadiah', 'nya']","['hadiah', 'nya']"
25,pelayanan bintang,pelayanan bintang,"['pelayanan', 'bintang']","['pelayanan', 'bintang']","['layan', 'bintang']"
26,botol terbuka barang tumpah,botol terbuka barang tumpah,"['botol', 'terbuka', 'barang', 'tumpah']","['botol', 'terbuka', 'barang', 'tumpah']","['botol', 'buka', 'barang', 'tumpah']"
