,Review,Review_norm
0,pengiriman sangat lama hari setelah order baru dikirim barang nya,pengiriman sangat lama hari setelah order baru dikirim barang nya
1,salah kirim barang,salah kirim barang
2,paket acne nya tidak lengkap facial foamnya tidak ada,paket acne nya tidak lengkap facial foamnya tidak ada
3,packing tidak baik packing luar rusak sdh terbuka saat terima diterima orang rumah dari serum packing serum rusak penyok padahal utk jual lg,packing tidak baik packing luar rusak sudah terbuka saat terima diterima orang rumah dari serum packing serum rusak penyok padahal untuk jual lagi
4,barang tak pernah sampai kaga amanh lama banget kirain bakl sampe nyatanya gaada,barang tak pernah sampai kagak amanh lama banget mengira bakl sampai nyatanya enggak ada
5,belanja dari tgl brg nyampe tgl padahal transaksi ini buat syarat jd member platinum sampai akhirnya gagal gara brg ga dikirim kirim semoga org lain tidak dibuat kecewa spt sy akhirnya brg sy buang ke tong sampah,belanja dari tanggal barang sampai tanggal padahal transaksi ini buat syarat jadi member platinum sampai akhirnya gagal gara barang enggak dikirim kirim semoga orang lain tidak dibuat kecewa seperti saya akhirnya barang saya buang ke tong sampah
6,seharusnya product ini ada pelindungnya jadi bisa menandakan ini masih baru atau tidak tidak ada segel dan plastik sama sekali maaf saya kasih bintang satu supaya bisa diperhatikan ya perihal kemasan product,seharusnya product ini ada pelindungnya jadi bisa menandakan ini masih baru atau tidak tidak ada segel dan plastik sama sekali maaf saya kasih bintang satu supaya bisa diperhatikan ya perihal kemasan product
7,barang tidak datang dan tidak dikonfirmasi,barang tidak datang dan tidak dikonfirmasi
8,pesan tgl mei konfirmasi tgl bahwa produk akan dikirim sesuai urutan orderan dan akhirnya pengajuan pick up paket tgl juni jam sebelum batal otomatis tgl juni akhirnya paket berhasil dijemput padahal estimasi produk sampai tgl juni dan sampai tgl juni mohon untuk pihak toko lebih cepat dalam proses dan pengiriman orderan nya agar meningkatkan kualitas pelayanan terima kasih,pesan tanggal mei konfirmasi tanggal bahwa produk akan dikirim sesuai urutan orderan dan akhirnya pengajuan pick up paket tanggal juni jam sebelum batal otomatis tanggal juni akhirnya paket berhasil dijemput padahal estimasi produk sampai tanggal juni dan sampai tanggal juni mohon untuk pihak toko lebih cepat dalam proses dan pengiriman orderan nya agar meningkatkan kualitas pelayanan terima kasih
9,produk sih oke cuman cs nya kurang banget proses pengepakan hari itu terlalu lama kecuali kalau pihak azarine mau terbuka kenapa harus hari proses barang doang admin juga lama balesnya perlu nambah karyawan print tulisan di body belakang produk masih kualitas rendah perlu diperbaiki lagi sehingga tidak terlihat murahan sabar aja gak cukup mba mas pak bu any gender pronouns kalau gak ditunjang sama kualitas cs yang baik,produk sih oke cuman customer service nya kurang banget proses pengepakan hari itu terlalu lama kecuali kalau pihak azarine mau terbuka kenapa harus hari proses barang doang admin juga lama balesnya perlu menambah karyawan print tulisan di body belakang produk masih kualitas rendah perlu diperbaiki lagi sehingga tidak terlihat murahan sabar saja enggak cukup mbak mas pak bu any gender pronouns kalau enggak ditunjang sama kualitas customer service yang baik
10,pertama pengirimannya lama sekali sehari penuh baru diproses hari baru dikirim jadi sampainya seminggu trs pas sampai ternyata yg sun shield nya tdk ada di paketnya ternyata barangnya kosong dong dan admin tdk konfirmasi lgsg dikirim aja tuh pesenannya akhirnya hrs ribet lg komplain ke tokopedia dan pengembalian dananya jg ribet soalnya barangnya bundle parah pelayanannya dan respon adminnya jg lama banget,pertama pengirimannya lama sekali sehari penuh baru diproses hari baru dikirim jadi sampainya seminggu terus pas sampai ternyata yang sun shield nya tidak ada di paketnya ternyata barangnya kosong dong dan admin tidak konfirmasi langsung dikirim saja tuh pesenannya akhirnya harus ribet lagi komplain ke tokopedia dan pengembalian dananya juga ribet soalnya barangnya bundle parah pelayanannya dan respon adminnya juga lama banget
11,kenapa yg ke  belanja packing nya begini ya kardus ngak di lakban segel rusak,kenapa yang ke  belanja packing nya begini ya kardus enggak di lakban segel rusak
12,gbs di batalkan,enggak bisa di batalkan
13,udamah pengiriman lama ujung tempat keluar produknya cacat malah gaada lobangnya produk mau keluar darimana coba udh nyoba tusuk jarum tp tebel bgt gabisa nembus pas kepencet malah jadi bocor dari belakang sebel bgt byk produk kebuang sia yaudah deh digunting aja tp udh telanjur bocor di belakangnya tekstur abis dipake juga ga ngelembabin malah bikin keset yah murah sih,udamah pengiriman lama ujung tempat keluar produknya cacat malah enggak ada lobangnya produk mau keluar darimana coba sudah mencoba tusuk jarum tapi tebal banget enggak bisa nembus pas kepencet malah jadi bocor dari belakang sebel banget banyak produk kebuang sia yaudah deh digunting saja tapi sudah telanjur bocor di belakangnya tekstur habis dipakai juga enggak ngelembabin malah bikin keset ya murah sih
15,expired jul,expired jul
16,pengiriman sampe minggu dan tidak up to update delivery ya,pengiriman sampai minggu dan tidak up tapi update delivery ya
17,produk ok tapi pengemasan lama bgtttttttttt,produk ok tapi pengemasan lama bgtttttttttt
18,barang tdk sesuai pesanan chat tdk direspon lamaaa sampainya tdk ada konfirmasi jml item harusnya atau ini dikirim saja,barang tidak sesuai pesanan chat tidak direspon lama sampainya tidak ada konfirmasi jml item harusnya atau ini dikirim saja
19,gimana sih pesen yg pearl horizon satu trus goats milk satu malah yg dateng duanya pearl horizon lain kali di perbaiki dong min lebih teliti lagi sebelum packing klo kek gini ngerugiin pembeli thanks,bagaimana sih pesan yang pearl horizon satu terus goats milk satu malah yang datang duanya pearl horizon lain kali di perbaiki dong min lebih teliti lagi sebelum packing kalo kayak begini ngerugiin pembeli thanks
20,sangat kecewa dengan pengirimannya beli tanggal baru sampe tanggal,sangat kecewa dengan pengirimannya beli tanggal baru sampai tanggal
21,paket nyampenya lama udah gtu segel kerdus nya udah kebuka robek,paket sampainya lama sudah begitu segel kerdus nya sudah kebuka robek
22,selernya lama sekali mengirimkan pesanan,selernya lama sekali mengirimkan pesanan
23,asli si kecewa bgt pengemasan bener lama bener melebihi estimasi paket nya aja baru dikirim melebihi estimasi sampai harus nya paket udah sampai dirumah ini dikirim aja belom kecewa sih karna chat ke penjual juga ga di tanggepin packing nya juga kurang rapih ya dan ini gatau emg isinya segini apa gimana karna pas di buka mau di coba ko isinya ga full,asli sih kecewa banget pengemasan benar lama benar melebihi estimasi paket nya saja baru dikirim melebihi estimasi sampai harus nya paket sudah sampai dirumah ini dikirim saja belum kecewa sih karena chat ke penjual juga enggak di tanggepin packing nya juga kurang rapi ya dan ini enggak tau memang isinya segini apa bagaimana karena pas di buka mau di coba kok isinya enggak full
24,the product make my acne on point,the product memakai my acne on point
25,pengemasan sangat amat lama sampai harus dichat berrrrkali tolong diperbaiki lagi deh,pengemasan sangat amat lama sampai harus dichat berrrrkali tolong diperbaiki lagi deh
26,kapoooooook beli disini menyesaaaaaal,kapoooooook beli disini menyesaaaaaal
27,sangat sangat sangat mengecewakan prosesnya lama padahal satu kota satu minggu baru di proses kalo dari kurir pengiriman tidak ada masalah karena saya cek resi setelah di ekpedisi proses pengiriman hanya satu hari krn memang satu kota dari toko memproses barang nya bener lama mengecewakan lebih baik beli ditempat lain yg menjual produk tsb barangnya datang suda tidak berguna lagi krn saya harus ganti barang pesanan customer saya dengan memesan di tmpat lain kapoooooook beli disini,sangat sangat sangat mengecewakan prosesnya lama padahal satu kota satu minggu baru di proses kalo dari kurir pengiriman tidak ada masalah karena saya cek resi setelah di ekpedisi proses pengiriman hanya satu hari karena memang satu kota dari toko memproses barang nya benar lama mengecewakan lebih baik beli ditempat lain yang menjual produk tersebut barangnya datang sudah tidak berguna lagi karena saya harus ganti barang pesanan customer saya dengan memesan di tmpat lain kapoooooook beli disini
28,kaga ngefek spt pake air putih aja,kagak ngefek seperti pakai air putih saja
29,saran aja untuk kedepan dikasih bubble ya sekelas official store loh,saran saja untuk kedepan dikasih bubble ya sekelas official store loh
30,tidak suka pelayanan disini tidak ada empati sama sekali perlu ditatar ulang attitudenya tidak rekomended brand dan toko ini tidak perlu repurchase barang juga dipacking tidak pakai buble asal asalan sedang naik daun tapi besar servicenya,tidak suka pelayanan disini tidak ada empati sama sekali perlu ditatar ulang attitudenya tidak rekomended brand dan toko ini tidak perlu repurchase barang juga dipacking tidak pakai buble asal asalan sedang naik daun tapi besar servicenya
31,ga dikirim yg  white serum baru sadar,enggak dikirim yang  white serum baru sadar
32,order dari tgl des baru dikirim setelah tg baru sampe tg itu juga setelah ditagih dan dikomplain dan sellernya juga tidak respon ketika dihubungi sangat tidak recommended,order dari tanggal des baru dikirim setelah tg baru sampai tg itu juga setelah ditagih dan dikomplain dan sellernya juga tidak respon ketika dihubungi sangat tidak recommended
33,paket  rachel goddard pertama kali buka udah kayak gini penyak penyok body scrub juga kayak udah pernah dipake yang lainnya sih tersegel bener cuman ini aja body scrub sama lightening serum saya jadi gak sreg mau pakeknya,paket  rachel goddard pertama kali buka sudah kayak begini penyak penyok body scrub juga kayak sudah pernah dipakai yang lainnya sih tersegel benar cuman ini saja body scrub sama lightening serum saya jadi enggak sreg mau pakeknya
34,lama bangeett dikirimnya bahkan hrs sampai ngingetin seller kalo jam lagi pesanan saya dibatalkan otomatis oleh tokped kecewa,lama banget dikirimnya bahkan harus sampai mengingatkan seller kalo jam lagi pesanan saya dibatalkan otomatis oleh tokped kecewa
35,lama bangeett dikirimnya bahkan hrs sampai ngingetin seller kalo jam lagi pesanan saya dibatalkan otomatis oleh tokped udah gitu ga lgsg dikirim huaaa kecewa,lama banget dikirimnya bahkan harus sampai mengingatkan seller kalo jam lagi pesanan saya dibatalkan otomatis oleh tokped sudah begitu enggak langsung dikirim huaaa kecewa
36,rusakkk,rusak
