,Review
0,pengiriman sangat lama hari setelah order baru dikirim barang nya
1,salah kirim barang
2,paket acne nya tidak lengkap facial foamnya tidak ada
3,packing tidak baik packing luar rusak sdh terbuka saat terima diterima orang rumah dari serum packing serum rusak penyok padahal utk jual lg
4,barang tak pernah sampai kaga amanh lama banget kirain bakl sampe nyatanya gaada
5,belanja dari tgl brg nyampe tgl padahal transaksi ini buat syarat jd member platinum sampai akhirnya gagal gara brg ga dikirim kirim semoga org lain tidak dibuat kecewa spt sy akhirnya brg sy buang ke tong sampah
6,seharusnya product ini ada pelindungnya jadi bisa menandakan ini masih baru atau tidak tidak ada segel dan plastik sama sekali maaf saya kasih bintang satu supaya bisa diperhatikan ya perihal kemasan product
7,barang tidak datang dan tidak dikonfirmasi
8,pesan tgl mei konfirmasi tgl bahwa produk akan dikirim sesuai urutan orderan dan akhirnya pengajuan pick up paket tgl juni jam sebelum batal otomatis tgl juni akhirnya paket berhasil dijemput padahal estimasi produk sampai tgl juni dan sampai tgl juni mohon untuk pihak toko lebih cepat dalam proses dan pengiriman orderan nya agar meningkatkan kualitas pelayanan terima kasih
9,produk sih oke cuman cs nya kurang banget proses pengepakan hari itu terlalu lama kecuali kalau pihak azarine mau terbuka kenapa harus hari proses barang doang admin juga lama balesnya perlu nambah karyawan print tulisan di body belakang produk masih kualitas rendah perlu diperbaiki lagi sehingga tidak terlihat murahan sabar aja gak cukup mba mas pak bu any gender pronouns kalau gak ditunjang sama kualitas cs yang baik
10,pertama pengirimannya lama sekali sehari penuh baru diproses hari baru dikirim jadi sampainya seminggu trs pas sampai ternyata yg sun shield nya tdk ada di paketnya ternyata barangnya kosong dong dan admin tdk konfirmasi lgsg dikirim aja tuh pesenannya akhirnya hrs ribet lg komplain ke tokopedia dan pengembalian dananya jg ribet soalnya barangnya bundle parah pelayanannya dan respon adminnya jg lama banget
11,kenapa yg ke  belanja packing nya begini ya kardus ngak di lakban segel rusak
12,gbs di batalkan
13,udamah pengiriman lama ujung tempat keluar produknya cacat malah gaada lobangnya produk mau keluar darimana coba udh nyoba tusuk jarum tp tebel bgt gabisa nembus pas kepencet malah jadi bocor dari belakang sebel bgt byk produk kebuang sia yaudah deh digunting aja tp udh telanjur bocor di belakangnya tekstur abis dipake juga ga ngelembabin malah bikin keset yah murah sih
15,expired jul
16,pengiriman sampe minggu dan tidak up to update delivery ya
17,produk ok tapi pengemasan lama bgtttttttttt
18,barang tdk sesuai pesanan chat tdk direspon lamaaa sampainya tdk ada konfirmasi jml item harusnya atau ini dikirim saja
19,gimana sih pesen yg pearl horizon satu trus goats milk satu malah yg dateng duanya pearl horizon lain kali di perbaiki dong min lebih teliti lagi sebelum packing klo kek gini ngerugiin pembeli thanks
20,sangat kecewa dengan pengirimannya beli tanggal baru sampe tanggal
21,paket nyampenya lama udah gtu segel kerdus nya udah kebuka robek
22,selernya lama sekali mengirimkan pesanan
23,asli si kecewa bgt pengemasan bener lama bener melebihi estimasi paket nya aja baru dikirim melebihi estimasi sampai harus nya paket udah sampai dirumah ini dikirim aja belom kecewa sih karna chat ke penjual juga ga di tanggepin packing nya juga kurang rapih ya dan ini gatau emg isinya segini apa gimana karna pas di buka mau di coba ko isinya ga full
24,the product make my acne on point
25,pengemasan sangat amat lama sampai harus dichat berrrrkali tolong diperbaiki lagi deh
26,kapoooooook beli disini menyesaaaaaal
27,sangat sangat sangat mengecewakan prosesnya lama padahal satu kota satu minggu baru di proses kalo dari kurir pengiriman tidak ada masalah karena saya cek resi setelah di ekpedisi proses pengiriman hanya satu hari krn memang satu kota dari toko memproses barang nya bener lama mengecewakan lebih baik beli ditempat lain yg menjual produk tsb barangnya datang suda tidak berguna lagi krn saya harus ganti barang pesanan customer saya dengan memesan di tmpat lain kapoooooook beli disini
28,kaga ngefek spt pake air putih aja
29,saran aja untuk kedepan dikasih bubble ya sekelas official store loh
30,tidak suka pelayanan disini tidak ada empati sama sekali perlu ditatar ulang attitudenya tidak rekomended brand dan toko ini tidak perlu repurchase barang juga dipacking tidak pakai buble asal asalan sedang naik daun tapi besar servicenya
31,ga dikirim yg  white serum baru sadar
32,order dari tgl des baru dikirim setelah tg baru sampe tg itu juga setelah ditagih dan dikomplain dan sellernya juga tidak respon ketika dihubungi sangat tidak recommended
33,paket  rachel goddard pertama kali buka udah kayak gini penyak penyok body scrub juga kayak udah pernah dipake yang lainnya sih tersegel bener cuman ini aja body scrub sama lightening serum saya jadi gak sreg mau pakeknya
34,lama bangeett dikirimnya bahkan hrs sampai ngingetin seller kalo jam lagi pesanan saya dibatalkan otomatis oleh tokped kecewa
35,lama bangeett dikirimnya bahkan hrs sampai ngingetin seller kalo jam lagi pesanan saya dibatalkan otomatis oleh tokped udah gitu ga lgsg dikirim huaaa kecewa
36,rusakkk
37,packing ya parah facial foam ya berantakan kalo ga dikasih bubble wrap setidak ya tutup facial wash ya diisolasi supaya ga berantakan
38,kecewa sekali baru pakai serum acne sekali langsung tumbuh jerawat
39,pesenan yg dikirim
40,muka gue jadi beruntusan dan respon penjual tetap lama kecewa banget gue
41,pengiriman lama barang tidak tersedia pembeli disuruh nunggu dibatalin gk boleh
42,barang tidak sampai
43,beli yang sunscreen mist yg dikirim  yg gel ini sudah ajuin complain di tokped riwayat complain hilang gatau kemana
44,pesanan lama datang pesan tgl datang tgl padahal dalam kabupaten
45,pengiriman sangat lambat sekali
46,belum pakai terima sudah bocor tanya bagaimana tidak answer juga
47,toko slow respon gak teliti sama sekali liat barang malas kalo ngga langsung liat chat komplain saya saya bakal jelek jelekin nih toko ke semua sosmed
48,sy review jujur ya mslh respon penjual kurang sama sekali sy minta bantuan toped  baru direspon pengiriman sangat lambat sekali sy order lapak lain dng hr yg sama sdh dtg semua ini mlh msh diproses mslh paket kurang baik hanya kardus seadanya nanti sy video kan lalu kemasan produk terbilang spt asal an penutup plastiknya tdk rapi sama sekali dus produk tdk rapi lalu botol nya produk terbuat dr plastik ini review dr saya dan sy tdk puas
49,memang pearl horizon seperti ini ya tidak sesuai gambar buluk banget baru sekali ini belanja azarine dpt kualitas brg jlk
50,sangat kecewa limited editionnya hanha cream siang aja
51,cream siangnya juga ngga cocok gatal dan beruntusan muka ku perih sayang bgt baru dipakai kali masih tersisa banyak nih creamnya
52,ekspektasi sdh tinggi sdh dipakai tapi ternyata pas aku coba kulit ku gatal dan beruntusan diaku ngga cocok seperti nya sayang bgt nih padahal baru dipakai sekali aja jadi masih utuh banyak bgt
53,beli blackhead remover mask tapi kenapa yg satu nya tinggal setengah kertas nya pun tinggal dikit juga sangat kecewa saya
54,parah ngaretnya pesan tgl estimasi datang tanggal  baru sampai tgl sore
55,barang kami terima pecah sayangnya saya tidak bisa upload video unboxingnya
56,sdikit ky dah dpkai
57,saya pesan kamis jam pagi status order sudah dikonfirmasi tokopedia namun blm di terima oleh seller status tersebut tetap sama pada jumat sore saya memutuskan untuk tidak jadi beli dan mengajukan batal saya juga chat seller stelah ajukan batal untuk dibantu pembatalan saya rasa ajuan saya ini harusnya diterima karena seller blm menerima order saya status terakhir msh diterima tokopedia namun sabtu pagi yg terjadi ajuan batal saya di tolak dan seller pencet accept order saya mempertanyakan berulang kali mengapa ditolak seller berdalih karena sudah diproses padahal saya ajukan batal saat blm di proses berulang kali saya kasih rincian kapan saya ajukan batal dan kapan mreka proses tapi mereka tetap merasa mereka yg benar sampai pada akhirnya seller bilang kalau blm di konfirmasi seller pasti ajuan batal akan diterima setelah ucapan ini keluar saya tanya lagi lalu apa yang membuat seller menolak ajuan batal ketika saya ajukan sebelum konfirmasi seller tetapi seller berdalih sekarang barangnya sufah dikirim jadi tidak bisa batal saya juga tau itu saya mempertanyakan hal ini dari sebelum seller kirim berulang kali saya pertanyakan apa alasan seller menolak pengajuan batal di hari jumat padahal seller terima order baru sabtu semua ada history chat nya dan ada history rinciannya kapan tokopedia verifikasi pembayaran saya kapan saya ajukan batal dan kapan seller menolak pembatalan dan malah memproses order saya sangat kecewa dengan pelayanan toko ini saya chat dari kalimat baik sampe sudah tidak bisa ditahan lagi emosi saya karena seller tidak bisa menjawab pertanyaan saya alasan seller menolak pengajuan batal yg saya ajukan hari jumat sebelum seller terima orderan hari sabtu
58,salah kirim sunscreen bukannya yang joasa spf malah dikirim yg vit  padahal saya udah beli terpisah untuk sunscreen vit  nya masih pembelian pertama untuk coba coba dari pada saya balikin udah rugi biaya pengiriman balik lama banget pula di kirimnya lagi toko terlama dalam pengiriman menurut saya
59,saya pemakai suncreen azarine yg hyrosoothe dan cocok makanya cobain yg mist ini tapi ternyata dipakai dikulit terasa agak panas ya dan semprotannya itu ga rata gitu ke muka kita
60,barang tidak lengkap
61,cuma terima produk harusnya paket isi essence mist sy komplain minta komplainnya dicabut dulu sudah sy cabut krn percaya ternyata ini hampir minggu tidak dikirim cs nya pelayanan buruk chat yg jawab sistem dan lambat tidak ada permintaan maaf yg baik tolong benahi pelayanan dan sgera kirim nanti sy perbaiki bintangnya
62,katanya macam dalam satu paket yg datang cuma gimana ya
63,udah kecewa dari beli hair serum jadinya lotion
64,pesen hair serum yang dateng lotion dong
65,packing lama banget padahal pengiriman dr sda ke sby order tgl sampe sby tanggal bilangnya lgsg diproses nyatanya tdk sesuai
66,aku mesen dari tanggal desember baru sampai kemarin dimohon setidaknya kalau ada kendala dijawab chat nya di tanya penjual
67,aq pesen nigh cream malah nyampenya serum deuh
68,no review found
69,engga ngefek cuma lengketin tangan doang
70,pesan yg datang cuma komplain dikirim ulang yang datang cuma dah lah malas
71,sedih banget saya mau produknya bukan uang saya yg dibalikin kenapa gaada usaha kasih barangnya sih kenapa lgsg balikin uangnya lebih baik nunggu kurang dari seminggu tp barangnya ada drpd lgsg dibalikin uangnya
72,ga cocok di muka kalo make serum azarine acne malah muncul jerawat kecewa si tapi harga ribu ml murah doang tapi kualitas bukan nomor
73,pelayanan sangat lama sekali
74,barangnya sih masih aman tapi udah gedeg banget sama ekspedisinya langsung main lempar masuk pagar tanpa manggil atau nelpon padahal di kemasannya udah ada tulisan fragile sebelumnya aku udah complaint di review tapi gak ditanggapi karena aku kasih bintang lima ini aku kasih bintang satu tolong azarine ekpedisinya diregur
75,barangnya sih masih aman tapi udah gedeg banget sama ekspedisinya langsung main lempar masuk pagar tanpa manggil atau nelpon padahal di kemasannya udah ada tulisan fragile plus ini barangnya gak dibalut bubble wrap atau apa kek biar aman sebelumnya aku udah complaint di review tapi gak ditanggapi karena aku kasih bintang lima ini aku kasih bintang satu tolong azarine ekpedisinya diregur
76,barangnya sih masih aman tapi udah gedeg banget sama ekspedisinya langsung main lempar masuk pagar tanpa manggil atau nelpon padahal di kemasannya udah ada tulisan fragile terus di dalamnya gak dibalut bubble wrap ini rentan banget sebelumnya aku udah complaint di review tapi gak ditanggapi karena aku kasih bintang lima ini aku kasih bintang satu tolong azarine ekpedisinya diregur
77,barang tidak ada
78,pelayanan lemot bgt di proses masa hari blm di kirim estimasi dtg tgl datangnya tgl malam
79,bikin makin meradang murah sih tapi ga cocok
80,diki bgt dih ga sesuai
81,pengiriman lama
82,barang yg di kirim tidak sesuai dengan pesanan pesannya  white night cream yg di kirim malah serum  white emang baru kali ini terima barang tidak sesuai pesanan biasanya selalu sesuai tapi tetap saya kecewa krna saya lg butuh night cream kebetulan sudah habis night creamnya udah lama nungguin udah dtng malah salah lain kali lebih teliti lagi pelayanan nya biar gak kecewa customer saya udah cocok pakai produk azarine klo udah salah sprti ini jadinya males dan takut buat pesan lagi
83,aneh cream malem isinya cuma doang dipencet ga keluar sedangkan day creamnya mah full gausah diteken bgt udh keluar udh komplen jawabannya malah ga memuaskan
84,packing cuma bubble wrap penyok parah lupa unboxing lain kali harus inbox biar gak seenaknya kalau packing bener kecewa sama azarine udah laris pelayanan asal asalan
85,kecewa mentang beli produk packing asalan cuma bubblewrap sekelas official kalah sama seller amatiran
86,pengemasan lama banget dateng penyok packing cuma bubble wrap polosan gaada sticker fragile apapun wajib video unboxing lain kali karena kalau gaada gamau tanggung jawab penjualnya walaupun barang rusak so far official store paling buruk yg pernah dibeli mulai dari pengemasan lelet packing gak niat purna jualnya juga ngaco semoga berbenah ya kamu sayang banget kalau udah rame tapi gak diikuti kualitas pelayanan offstorenya shame on you azarine
87,gmn ya aneh ga kaya biasanya pengiriman nya lama sampe seminggu pdhl udah langganan dr dulu terus lubangnya ga dikasih segel kaya udah dipake malah pao cuma bulan jadi gatau ini bisa dipakenya sampe kapan meskipun exp date masih lama maaf saya cuma review jujur tanpa ada niat buruk apapun
88,cashback tidak berikan sudah jelas saya input promo cashback tokonya
89,barangnya sih bagus cuman pelayanannya lelet banget pembelian kedua kirain bakal lebih cepat ternyata sama saja mending cari  distributor lain saja
90,cream nya gak bagus setah pake minggu muka saya malah makin hitam jauh beda sebelom saya pake cream ini muka saya tidak sehitam ini setelah pake cream ini malah tambah hitam
91,ya di kirim hanya dus kosong
92,lain kali kalo tidak punya produk jangan ikutan flash sale bohongin konsumen aja
93,barang ini tidak dikirim saya buat komplain lalu diberikan opsi pengembalian dana atau menunggu sampai barang ready baru dikirimkan saya pilih opsi yg kedua dong karena saya sudah merasa dapet flash sale dan sudah berebutan dengan semua orang di seluruh indonesia ini namun di keesokan harinya komplain sudah diselesaikan dan dana dibalikin perak dih kalo gitu buat apa ngasih opsi gitu ngga guna
