,Review,Review_norm,review_tokens,review_tokens_SR
0,pengiriman sangat lama hari setelah order baru dikirim barang nya,pengiriman sangat lama hari setelah order baru dikirim barang nya,"['pengiriman', 'sangat', 'lama', 'hari', 'setelah', 'order', 'baru', 'dikirim', 'barang', 'nya']","['pengiriman', 'order', 'dikirim', 'barang', 'nya']"
1,salah kirim barang,salah kirim barang,"['salah', 'kirim', 'barang']","['salah', 'kirim', 'barang']"
2,paket acne nya tidak lengkap facial foamnya tidak ada,paket acne nya tidak lengkap facial foamnya tidak ada,"['paket', 'acne', 'nya', 'tidak', 'lengkap', 'facial', 'foamnya', 'tidak', 'ada']","['paket', 'acne', 'nya', 'lengkap', 'facial', 'foamnya']"
3,packing tidak baik packing luar rusak sdh terbuka saat terima diterima orang rumah dari serum packing serum rusak penyok padahal utk jual lg,packing tidak baik packing luar rusak sudah terbuka saat terima diterima orang rumah dari serum packing serum rusak penyok padahal untuk jual lagi,"['packing', 'tidak', 'baik', 'packing', 'luar', 'rusak', 'sudah', 'terbuka', 'saat', 'terima', 'diterima', 'orang', 'rumah', 'dari', 'serum', 'packing', 'serum', 'rusak', 'penyok', 'padahal', 'untuk', 'jual', 'lagi']","['packing', 'packing', 'rusak', 'terbuka', 'terima', 'diterima', 'orang', 'rumah', 'serum', 'packing', 'serum', 'rusak', 'penyok', 'jual']"
4,barang tak pernah sampai kaga amanh lama banget kirain bakl sampe nyatanya gaada,barang tak pernah sampai kagak amanh lama banget mengira bakl sampai nyatanya enggak ada,"['barang', 'tak', 'pernah', 'sampai', 'kagak', 'amanh', 'lama', 'banget', 'mengira', 'bakl', 'sampai', 'nyatanya', 'enggak', 'ada']","['barang', 'kagak', 'amanh', 'banget', 'bakl']"
5,belanja dari tgl brg nyampe tgl padahal transaksi ini buat syarat jd member platinum sampai akhirnya gagal gara brg ga dikirim kirim semoga org lain tidak dibuat kecewa spt sy akhirnya brg sy buang ke tong sampah,belanja dari tanggal barang sampai tanggal padahal transaksi ini buat syarat jadi member platinum sampai akhirnya gagal gara barang enggak dikirim kirim semoga orang lain tidak dibuat kecewa seperti saya akhirnya barang saya buang ke tong sampah,"['belanja', 'dari', 'tanggal', 'barang', 'sampai', 'tanggal', 'padahal', 'transaksi', 'ini', 'buat', 'syarat', 'jadi', 'member', 'platinum', 'sampai', 'akhirnya', 'gagal', 'gara', 'barang', 'enggak', 'dikirim', 'kirim', 'semoga', 'orang', 'lain', 'tidak', 'dibuat', 'kecewa', 'seperti', 'saya', 'akhirnya', 'barang', 'saya', 'buang', 'ke', 'tong', 'sampah']","['belanja', 'tanggal', 'barang', 'tanggal', 'transaksi', 'syarat', 'member', 'platinum', 'gagal', 'gara', 'barang', 'dikirim', 'kirim', 'semoga', 'orang', 'kecewa', 'barang', 'buang', 'tong', 'sampah']"
6,seharusnya product ini ada pelindungnya jadi bisa menandakan ini masih baru atau tidak tidak ada segel dan plastik sama sekali maaf saya kasih bintang satu supaya bisa diperhatikan ya perihal kemasan product,seharusnya product ini ada pelindungnya jadi bisa menandakan ini masih baru atau tidak tidak ada segel dan plastik sama sekali maaf saya kasih bintang satu supaya bisa diperhatikan ya perihal kemasan product,"['seharusnya', 'product', 'ini', 'ada', 'pelindungnya', 'jadi', 'bisa', 'menandakan', 'ini', 'masih', 'baru', 'atau', 'tidak', 'tidak', 'ada', 'segel', 'dan', 'plastik', 'sama', 'sekali', 'maaf', 'saya', 'kasih', 'bintang', 'satu', 'supaya', 'bisa', 'diperhatikan', 'ya', 'perihal', 'kemasan', 'product']","['product', 'pelindungnya', 'menandakan', 'segel', 'plastik', 'maaf', 'kasih', 'bintang', 'diperhatikan', 'ya', 'perihal', 'kemasan', 'product']"
7,barang tidak datang dan tidak dikonfirmasi,barang tidak datang dan tidak dikonfirmasi,"['barang', 'tidak', 'datang', 'dan', 'tidak', 'dikonfirmasi']","['barang', 'dikonfirmasi']"
8,pesan tgl mei konfirmasi tgl bahwa produk akan dikirim sesuai urutan orderan dan akhirnya pengajuan pick up paket tgl juni jam sebelum batal otomatis tgl juni akhirnya paket berhasil dijemput padahal estimasi produk sampai tgl juni dan sampai tgl juni mohon untuk pihak toko lebih cepat dalam proses dan pengiriman orderan nya agar meningkatkan kualitas pelayanan terima kasih,pesan tanggal mei konfirmasi tanggal bahwa produk akan dikirim sesuai urutan orderan dan akhirnya pengajuan pick up paket tanggal juni jam sebelum batal otomatis tanggal juni akhirnya paket berhasil dijemput padahal estimasi produk sampai tanggal juni dan sampai tanggal juni mohon untuk pihak toko lebih cepat dalam proses dan pengiriman orderan nya agar meningkatkan kualitas pelayanan terima kasih,"['pesan', 'tanggal', 'mei', 'konfirmasi', 'tanggal', 'bahwa', 'produk', 'akan', 'dikirim', 'sesuai', 'urutan', 'orderan', 'dan', 'akhirnya', 'pengajuan', 'pick', 'up', 'paket', 'tanggal', 'juni', 'jam', 'sebelum', 'batal', 'otomatis', 'tanggal', 'juni', 'akhirnya', 'paket', 'berhasil', 'dijemput', 'padahal', 'estimasi', 'produk', 'sampai', 'tanggal', 'juni', 'dan', 'sampai', 'tanggal', 'juni', 'mohon', 'untuk', 'pihak', 'toko', 'lebih', 'cepat', 'dalam', 'proses', 'dan', 'pengiriman', 'orderan', 'nya', 'agar', 'meningkatkan', 'kualitas', 'pelayanan', 'terima', 'kasih']","['pesan', 'tanggal', 'mei', 'konfirmasi', 'tanggal', 'produk', 'dikirim', 'sesuai', 'urutan', 'orderan', 'pengajuan', 'pick', 'up', 'paket', 'tanggal', 'juni', 'jam', 'batal', 'otomatis', 'tanggal', 'juni', 'paket', 'berhasil', 'dijemput', 'estimasi', 'produk', 'tanggal', 'juni', 'tanggal', 'juni', 'mohon', 'toko', 'cepat', 'proses', 'pengiriman', 'orderan', 'nya', 'meningkatkan', 'kualitas', 'pelayanan', 'terima', 'kasih']"
9,produk sih oke cuman cs nya kurang banget proses pengepakan hari itu terlalu lama kecuali kalau pihak azarine mau terbuka kenapa harus hari proses barang doang admin juga lama balesnya perlu nambah karyawan print tulisan di body belakang produk masih kualitas rendah perlu diperbaiki lagi sehingga tidak terlihat murahan sabar aja gak cukup mba mas pak bu any gender pronouns kalau gak ditunjang sama kualitas cs yang baik,produk sih oke cuman customer service nya kurang banget proses pengepakan hari itu terlalu lama kecuali kalau pihak azarine mau terbuka kenapa harus hari proses barang doang admin juga lama balesnya perlu menambah karyawan print tulisan di body belakang produk masih kualitas rendah perlu diperbaiki lagi sehingga tidak terlihat murahan sabar saja enggak cukup mbak mas pak bu any gender pronouns kalau enggak ditunjang sama kualitas customer service yang baik,"['produk', 'sih', 'oke', 'cuman', 'customer', 'service', 'nya', 'kurang', 'banget', 'proses', 'pengepakan', 'hari', 'itu', 'terlalu', 'lama', 'kecuali', 'kalau', 'pihak', 'azarine', 'mau', 'terbuka', 'kenapa', 'harus', 'hari', 'proses', 'barang', 'doang', 'admin', 'juga', 'lama', 'balesnya', 'perlu', 'menambah', 'karyawan', 'print', 'tulisan', 'di', 'body', 'belakang', 'produk', 'masih', 'kualitas', 'rendah', 'perlu', 'diperbaiki', 'lagi', 'sehingga', 'tidak', 'terlihat', 'murahan', 'sabar', 'saja', 'enggak', 'cukup', 'mbak', 'mas', 'pak', 'bu', 'any', 'gender', 'pronouns', 'kalau', 'enggak', 'ditunjang', 'sama', 'kualitas', 'customer', 'service', 'yang', 'baik']","['produk', 'sih', 'oke', 'cuman', 'customer', 'service', 'nya', 'banget', 'proses', 'pengepakan', 'kecuali', 'azarine', 'terbuka', 'proses', 'barang', 'doang', 'admin', 'balesnya', 'menambah', 'karyawan', 'print', 'tulisan', 'body', 'produk', 'kualitas', 'rendah', 'diperbaiki', 'murahan', 'sabar', 'mbak', 'mas', 'bu', 'any', 'gender', 'pronouns', 'ditunjang', 'kualitas', 'customer', 'service']"
