,Review
0,barang sampai di saya plastik seal nya udh rusak hanya dikasi seal tape bening biar tutup gk kebuka maaf ya saya disni beli looo bayar loo bukan dapat barang gratisan tolong lebih diperhatikan quality control nya
1,bau nya ko beda ya bikin mual aneh aja ngga kyk biasanya padahal aku udh repurchase fash wash skingame dari tahun kaget banget sih sumpah
2,no review found
3,no review found
4,tutup botol mampet
5,pump macet
6,malah jadi breakout pdhl baru sekali pake
7,selangnya sependek apa sih sampe dia ilang kebawah wtf annoying bgt pakenya gmn coba udah aku cari tp gak ada selangnya pake tube ajalah kalo pake packaging kaya gini bermasalah mulu sayang bgt padahal formulanya sebagus itu tapi kalo packagingnya begini sihhh big no deh
8,ini parah banget seller dan pengiriman kurir udah lama banget kirimnya plus waktu sampai dibuka paketnya rusak gajelas ini seller tidak professional dan tidak niat jualan sama sekali meskipun official store tolong hargai customer dengan dapat membungkus paket dengan baik dan benar
9,untuk packaging suka bangettt dan pengeriman juga cepat cuman sorry bgt kykny memang ga cocok di aku kyk lgsg jerawatan besar gitu
10,warnanya kuning kiri padahal baru dibuka punya saya sudah pemakaian bulan kanan masih bening
11,bener jadi geprek gak pake bubble wrap sama sekali hancur semua
12,bikin bibir sangat kering mending pake vaselin
13,review singkat kurang ergonomis dan kurang fungsional sulit dibersihin
14,packing nya mengecewakan sekali kardus tidak di tape tidak ada plastik apapun hanya dibiarkan terbuka siapapun bisa membukanya dengan mudah dan lagi bubble wrap nya hanya selapis sangat mengecewakan padahal saya berbelanja di toko official
15,datang dalam keadaan rembes cairan berkurang ml diperkuat sealernya ya
16,kalo ga dichat pesanan engga di konfirm kalo engga di chat barang pasti ga dianter paket tiba diluar estimasi sampai dng kurir next day padahal lgi butuh cepat
17,no review found
18,pake yg kecil cocok tp pas coba yg ini ga cocok jerawat ga ilang malah mendem jadi benjolan gosong tp ga ilang lama banget keluar enggak ilang jg enggak trus nimbulin jerawat ditempat lain dikulit yg mulus aja sebel bgt
19,malah bikin tambah banyak jerawat
20,barang bagus tapi pelayanan sellernya kurang bagus udah komplain hari senin rabu kok barang di pick up enggak di ambil ternyata lupa di kasihin ke kurir jawabannya berteletele
21,belum bulan udah oksidasi warnanya jadi kuning
22,packingnya kurang aman untuk benda cair produknya tumpah karena kemasan essence nya tidak transparant jdi tidak tau tumpahnya seberapa
23,kalo utk packaging ok bgt ya rapi but fungsionalitas dari yang pore armour abis dibilas jadi putih kaya gini pas nyoba ke sodara aku terus dia ga ngilangin komedo samsek kalo yang acne warrior jg ga ngefek sih di wajahku kempes ngga kering ngga bikin mateng jg ngga even setelah hari pemakaian
24,ga ngaruh apa apa
25,produk kurang cocok
26,susah diblend lama malah jadi peeling aneh banget susah nyerep juga
27,barang sesuai deskripsi isi paket aman cuma ternyata ini whitecast bikin muka jadi belang abu abu dempul banget kalau dipakai dosis anjuran sunscreen sendok teh memang ga lengket cuma bikin muka jadi kerasa kering ketarik kesat terus jadi gatal malahan kalau kena keringat langsung luntur kacau whitecastnya patchy dimana mana
28,isinya pink hero  sama aja kya beli harga normal mana penyok
29,maaf banget tp ini susah banget diratainnya dan whitecast parah bikin kulit jadi kering banget
30,warna nya kuning entah karena apa
31,abis pake ini besokannya langsung muncul banyak jerawat kecil
32,isinya berantakan
33,bikin aku jerawatan
34,tidak cocok di kulit saya yang kombinasi berjerawat udah dipake seminggu tetep nge trigger jerawat jadi tidak saya pakai klo ad yg mau beli dari saya harga miring boleh kontak saya
35,isi lumayan dikit hanya setengah botol tp pengiriman cepat
36,agak bruntusan di kulit untuk service admin
37,isinya gk full tengah nya kosong baru di pake se ujung ujung nya pas nyampe tengah langsung merosot ke ujung bawah  parah tapi product nya aku cocok makasih tp lain kali jujur lahhh jangan tengah nya dibkosongin ujung atas bawah nya aja yg diiisi 
38,udah hari pake menurut aku  aja sik mungkin ga ngaruh di aku apa lg jerawat gede cuma jerawat ga ada reaksi apa cm bagusnya ga bikin kering aja sih mungkin utk jerawat kecil ngaruh jadi pas di oles ga tau ada efek bekerja atau ga but it  okay
