,Review,Review_norm,review_tokens
0,barang sampai di saya plastik seal nya udh rusak hanya dikasi seal tape bening biar tutup gk kebuka maaf ya saya disni beli looo bayar loo bukan dapat barang gratisan tolong lebih diperhatikan quality control nya,barang sampai di saya plastik seal nya sudah rusak hanya dikasih seal tape bening biar tutup enggak kebuka maaf ya saya disini beli loh bayar lo bukan dapat barang gratisan tolong lebih diperhatikan quality control nya,"['barang', 'sampai', 'di', 'saya', 'plastik', 'seal', 'nya', 'sudah', 'rusak', 'hanya', 'dikasih', 'seal', 'tape', 'bening', 'biar', 'tutup', 'enggak', 'kebuka', 'maaf', 'ya', 'saya', 'disini', 'beli', 'loh', 'bayar', 'lo', 'bukan', 'dapat', 'barang', 'gratisan', 'tolong', 'lebih', 'diperhatikan', 'quality', 'control', 'nya']"
1,bau nya ko beda ya bikin mual aneh aja ngga kyk biasanya padahal aku udh repurchase fash wash skingame dari tahun kaget banget sih sumpah,bau nya kok beda ya bikin mual aneh saja enggak kayak biasanya padahal aku sudah repurchase fash wash skingame dari tahun kaget banget sih sumpah,"['bau', 'nya', 'kok', 'beda', 'ya', 'bikin', 'mual', 'aneh', 'saja', 'enggak', 'kayak', 'biasanya', 'padahal', 'aku', 'sudah', 'repurchase', 'fash', 'wash', 'skingame', 'dari', 'tahun', 'kaget', 'banget', 'sih', 'sumpah']"
2,no review found,no review found,"['no', 'review', 'found']"
3,tutup botol mampet,tutup botol mampet,"['tutup', 'botol', 'mampet']"
4,pump macet,pump macet,"['pump', 'macet']"
5,malah jadi breakout pdhl baru sekali pake,malah jadi breakout padahal baru sekali pakai,"['malah', 'jadi', 'breakout', 'padahal', 'baru', 'sekali', 'pakai']"
6,selangnya sependek apa sih sampe dia ilang kebawah wtf annoying bgt pakenya gmn coba udah aku cari tp gak ada selangnya pake tube ajalah kalo pake packaging kaya gini bermasalah mulu sayang bgt padahal formulanya sebagus itu tapi kalo packagingnya begini sihhh big no deh,selangnya sependek apa sih sampai dia hilang kebawah wtf annoying banget pakenya bagaimana coba sudah aku cari tapi enggak ada selangnya pakai tube ajalah kalo pakai packaging kayak begini bermasalah mulu sayang banget padahal formulanya sebagus itu tapi kalo packagingnya begini sih big no deh,"['selangnya', 'sependek', 'apa', 'sih', 'sampai', 'dia', 'hilang', 'kebawah', 'wtf', 'annoying', 'banget', 'pakenya', 'bagaimana', 'coba', 'sudah', 'aku', 'cari', 'tapi', 'enggak', 'ada', 'selangnya', 'pakai', 'tube', 'ajalah', 'kalo', 'pakai', 'packaging', 'kayak', 'begini', 'bermasalah', 'mulu', 'sayang', 'banget', 'padahal', 'formulanya', 'sebagus', 'itu', 'tapi', 'kalo', 'packagingnya', 'begini', 'sih', 'big', 'no', 'deh']"
7,ini parah banget seller dan pengiriman kurir udah lama banget kirimnya plus waktu sampai dibuka paketnya rusak gajelas ini seller tidak professional dan tidak niat jualan sama sekali meskipun official store tolong hargai customer dengan dapat membungkus paket dengan baik dan benar,ini parah banget seller dan pengiriman kurir sudah lama banget kirimnya plus waktu sampai dibuka paketnya rusak enggak jelas ini seller tidak professional dan tidak niat jualan sama sekali meskipun official store tolong hargai customer dengan dapat membungkus paket dengan baik dan benar,"['ini', 'parah', 'banget', 'seller', 'dan', 'pengiriman', 'kurir', 'sudah', 'lama', 'banget', 'kirimnya', 'plus', 'waktu', 'sampai', 'dibuka', 'paketnya', 'rusak', 'enggak', 'jelas', 'ini', 'seller', 'tidak', 'professional', 'dan', 'tidak', 'niat', 'jualan', 'sama', 'sekali', 'meskipun', 'official', 'store', 'tolong', 'hargai', 'customer', 'dengan', 'dapat', 'membungkus', 'paket', 'dengan', 'baik', 'dan', 'benar']"
8,untuk packaging suka bangettt dan pengeriman juga cepat cuman sorry bgt kykny memang ga cocok di aku kyk lgsg jerawatan besar gitu,untuk packaging suka banget dan pengeriman juga cepat cuman sorry banget kykny memang enggak cocok di aku kayak langsung jerawatan besar begitu,"['untuk', 'packaging', 'suka', 'banget', 'dan', 'pengeriman', 'juga', 'cepat', 'cuman', 'sorry', 'banget', 'kykny', 'memang', 'enggak', 'cocok', 'di', 'aku', 'kayak', 'langsung', 'jerawatan', 'besar', 'begitu']"
9,warnanya kuning kiri padahal baru dibuka punya saya sudah pemakaian bulan kanan masih bening,warnanya kuning kiri padahal baru dibuka punya saya sudah pemakaian bulan kanan masih bening,"['warnanya', 'kuning', 'kiri', 'padahal', 'baru', 'dibuka', 'punya', 'saya', 'sudah', 'pemakaian', 'bulan', 'kanan', 'masih', 'bening']"
10,bener jadi geprek gak pake bubble wrap sama sekali hancur semua,benar jadi geprek enggak pakai bubble wrap sama sekali hancur semua,"['benar', 'jadi', 'geprek', 'enggak', 'pakai', 'bubble', 'wrap', 'sama', 'sekali', 'hancur', 'semua']"
11,bikin bibir sangat kering mending pake vaselin,bikin bibir sangat kering mending pakai vaselin,"['bikin', 'bibir', 'sangat', 'kering', 'mending', 'pakai', 'vaselin']"
12,review singkat kurang ergonomis dan kurang fungsional sulit dibersihin,review singkat kurang ergonomis dan kurang fungsional sulit dibersihin,"['review', 'singkat', 'kurang', 'ergonomis', 'dan', 'kurang', 'fungsional', 'sulit', 'dibersihin']"
13,packing nya mengecewakan sekali kardus tidak di tape tidak ada plastik apapun hanya dibiarkan terbuka siapapun bisa membukanya dengan mudah dan lagi bubble wrap nya hanya selapis sangat mengecewakan padahal saya berbelanja di toko official,packing nya mengecewakan sekali kardus tidak di tape tidak ada plastik apapun hanya dibiarkan terbuka siapapun bisa membukanya dengan mudah dan lagi bubble wrap nya hanya selapis sangat mengecewakan padahal saya berbelanja di toko official,"['packing', 'nya', 'mengecewakan', 'sekali', 'kardus', 'tidak', 'di', 'tape', 'tidak', 'ada', 'plastik', 'apapun', 'hanya', 'dibiarkan', 'terbuka', 'siapapun', 'bisa', 'membukanya', 'dengan', 'mudah', 'dan', 'lagi', 'bubble', 'wrap', 'nya', 'hanya', 'selapis', 'sangat', 'mengecewakan', 'padahal', 'saya', 'berbelanja', 'di', 'toko', 'official']"
14,datang dalam keadaan rembes cairan berkurang ml diperkuat sealernya ya,datang dalam keadaan rembes cairan berkurang ml diperkuat sealernya ya,"['datang', 'dalam', 'keadaan', 'rembes', 'cairan', 'berkurang', 'ml', 'diperkuat', 'sealernya', 'ya']"
15,kalo ga dichat pesanan engga di konfirm kalo engga di chat barang pasti ga dianter paket tiba diluar estimasi sampai dng kurir next day padahal lgi butuh cepat,kalo enggak dichat pesanan enggak di konfirmasi kalo enggak di chat barang pasti enggak diantar paket tiba diluar estimasi sampai dengan kurir next day padahal lagi butuh cepat,"['kalo', 'enggak', 'dichat', 'pesanan', 'enggak', 'di', 'konfirmasi', 'kalo', 'enggak', 'di', 'chat', 'barang', 'pasti', 'enggak', 'diantar', 'paket', 'tiba', 'diluar', 'estimasi', 'sampai', 'dengan', 'kurir', 'next', 'day', 'padahal', 'lagi', 'butuh', 'cepat']"
16,pake yg kecil cocok tp pas coba yg ini ga cocok jerawat ga ilang malah mendem jadi benjolan gosong tp ga ilang lama banget keluar enggak ilang jg enggak trus nimbulin jerawat ditempat lain dikulit yg mulus aja sebel bgt,pakai yang kecil cocok tapi pas coba yang ini enggak cocok jerawat enggak hilang malah mendem jadi benjolan gosong tapi enggak hilang lama banget keluar enggak hilang juga enggak terus nimbulin jerawat ditempat lain dikulit yang mulus saja sebel banget,"['pakai', 'yang', 'kecil', 'cocok', 'tapi', 'pas', 'coba', 'yang', 'ini', 'enggak', 'cocok', 'jerawat', 'enggak', 'hilang', 'malah', 'mendem', 'jadi', 'benjolan', 'gosong', 'tapi', 'enggak', 'hilang', 'lama', 'banget', 'keluar', 'enggak', 'hilang', 'juga', 'enggak', 'terus', 'nimbulin', 'jerawat', 'ditempat', 'lain', 'dikulit', 'yang', 'mulus', 'saja', 'sebel', 'banget']"
17,malah bikin tambah banyak jerawat,malah bikin tambah banyak jerawat,"['malah', 'bikin', 'tambah', 'banyak', 'jerawat']"
