,Review,Review_norm,review_tokens,review_tokens_SR,review_tokens_stemmed
0,pengiriman yg sangat lambat sungguh mengecewakan jng pakai jasa yg udah merugikan konsumen,pengiriman yang sangat lambat sungguh mengecewakan jangan pakai jasa yang sudah merugikan konsumen,"['pengiriman', 'yang', 'sangat', 'lambat', 'sungguh', 'mengecewakan', 'jangan', 'pakai', 'jasa', 'yang', 'sudah', 'merugikan', 'konsumen']","['pengiriman', 'lambat', 'sungguh', 'mengecewakan', 'pakai', 'jasa', 'merugikan', 'konsumen']","['kirim', 'lambat', 'sungguh', 'kecewa', 'pakai', 'jasa', 'rugi', 'konsumen']"
1,kecewa bgt pelayanannya krg bisa membantu udah kyk chat sama robot,kecewa banget pelayanannya kurang bisa membantu sudah kayak chat sama robot,"['kecewa', 'banget', 'pelayanannya', 'kurang', 'bisa', 'membantu', 'sudah', 'kayak', 'chat', 'sama', 'robot']","['kecewa', 'banget', 'pelayanannya', 'membantu', 'kayak', 'chat', 'robot']","['kecewa', 'banget', 'layan', 'bantu', 'kayak', 'chat', 'robot']"
2,salah kirim harusnya glow maker,salah kirim harusnya glow maker,"['salah', 'kirim', 'harusnya', 'glow', 'maker']","['salah', 'kirim', 'glow', 'maker']","['salah', 'kirim', 'glow', 'maker']"
3,pesanan belum diterima dan amsih ajukan komplain kok udah terima pesanan jadi selesai,pesanan belum diterima dan amsih ajukan komplain kok sudah terima pesanan jadi selesai,"['pesanan', 'belum', 'diterima', 'dan', 'amsih', 'ajukan', 'komplain', 'kok', 'sudah', 'terima', 'pesanan', 'jadi', 'selesai']","['pesanan', 'diterima', 'amsih', 'ajukan', 'komplain', 'terima', 'pesanan', 'selesai']","['pesan', 'terima', 'amsih', 'aju', 'komplain', 'terima', 'pesan', 'selesai']"
4,malah muncul jerawat pas pake ini sekali sebelumnya ga ada,malah muncul jerawat pas pakai ini sekali sebelumnya enggak ada,"['malah', 'muncul', 'jerawat', 'pas', 'pakai', 'ini', 'sekali', 'sebelumnya', 'enggak', 'ada']","['muncul', 'jerawat', 'pas', 'pakai']","['muncul', 'jerawat', 'pas', 'pakai']"
5,klo beli selalu lama pengiriman nya kenapa ya sama si somethinc ini ada masalahkan sama kalian ada masalahkah dg packing kalian ada masalahkah dg karyawan kalian saya beli dari jam pagi sampe nya malah hari loh padahal jarak pengiriman masih di satu kecamatan tolong diperbaiki management somethinc untuk ke kalinya saya kasih bintang karena kecewa dg pelayanan kalian,kalo beli selalu lama pengiriman nya kenapa ya sama sih somethinc ini ada masalahkan sama kalian ada masalahkah dengan packing kalian ada masalahkah dengan karyawan kalian saya beli dari jam pagi sampai nya malah hari loh padahal jarak pengiriman masih di satu kecamatan tolong diperbaiki management somethinc untuk ke kalinya saya kasih bintang karena kecewa dengan pelayanan kalian,"['kalo', 'beli', 'selalu', 'lama', 'pengiriman', 'nya', 'kenapa', 'ya', 'sama', 'sih', 'somethinc', 'ini', 'ada', 'masalahkan', 'sama', 'kalian', 'ada', 'masalahkah', 'dengan', 'packing', 'kalian', 'ada', 'masalahkah', 'dengan', 'karyawan', 'kalian', 'saya', 'beli', 'dari', 'jam', 'pagi', 'sampai', 'nya', 'malah', 'hari', 'loh', 'padahal', 'jarak', 'pengiriman', 'masih', 'di', 'satu', 'kecamatan', 'tolong', 'diperbaiki', 'management', 'somethinc', 'untuk', 'ke', 'kalinya', 'saya', 'kasih', 'bintang', 'karena', 'kecewa', 'dengan', 'pelayanan', 'kalian']","['kalo', 'beli', 'pengiriman', 'nya', 'ya', 'sih', 'somethinc', 'masalahkan', 'masalahkah', 'packing', 'masalahkah', 'karyawan', 'beli', 'jam', 'pagi', 'nya', 'loh', 'jarak', 'pengiriman', 'kecamatan', 'tolong', 'diperbaiki', 'management', 'somethinc', 'kalinya', 'kasih', 'bintang', 'kecewa', 'pelayanan']","['kalo', 'beli', 'kirim', 'nya', 'ya', 'sih', 'somethinc', 'masalah', 'masalah', 'packing', 'masalah', 'karyawan', 'beli', 'jam', 'pagi', 'nya', 'loh', 'jarak', 'kirim', 'camat', 'tolong', 'baik', 'management', 'somethinc', 'kali', 'kasih', 'bintang', 'kecewa', 'layan']"
6,saya kasih bintang itu aja harus nya gak mau saya kasih bintang ni pembelian ke saya saya sangat kecewa karena pengiriman sangatttttttttt lama respon penjual sangat lelet saya pikir pembelian ke lebih cepat ternyata sama aja management nya perlu diperbaiki ditambah semua barang tidak ada yg free ongkir penjual sangat pelit kikir tolong lebih care ke customer gimana barang anda mau laku kalo semua nya gak ada yg gratis ongkir kalah sama brand lain yg udah ngasih pelayanan terbaik note ini pembelian saya terakhir dan tidak mau beli disini lagi bye,saya kasih bintang itu saja harus nya enggak mau saya kasih bintang nih pembelian ke saya saya sangat kecewa karena pengiriman sangatttttttttt lama respon penjual sangat lelet saya pikir pembelian ke lebih cepat ternyata sama saja management nya perlu diperbaiki ditambah semua barang tidak ada yang free ongkir penjual sangat pelit kikir tolong lebih care ke customer bagaimana barang anda mau laku kalo semua nya enggak ada yang gratis ongkir kalah sama brand lain yang sudah mengasih pelayanan terbaik note ini pembelian saya terakhir dan tidak mau beli disini lagi bye,"['saya', 'kasih', 'bintang', 'itu', 'saja', 'harus', 'nya', 'enggak', 'mau', 'saya', 'kasih', 'bintang', 'nih', 'pembelian', 'ke', 'saya', 'saya', 'sangat', 'kecewa', 'karena', 'pengiriman', 'sangatttttttttt', 'lama', 'respon', 'penjual', 'sangat', 'lelet', 'saya', 'pikir', 'pembelian', 'ke', 'lebih', 'cepat', 'ternyata', 'sama', 'saja', 'management', 'nya', 'perlu', 'diperbaiki', 'ditambah', 'semua', 'barang', 'tidak', 'ada', 'yang', 'free', 'ongkir', 'penjual', 'sangat', 'pelit', 'kikir', 'tolong', 'lebih', 'care', 'ke', 'customer', 'bagaimana', 'barang', 'anda', 'mau', 'laku', 'kalo', 'semua', 'nya', 'enggak', 'ada', 'yang', 'gratis', 'ongkir', 'kalah', 'sama', 'brand', 'lain', 'yang', 'sudah', 'mengasih', 'pelayanan', 'terbaik', 'note', 'ini', 'pembelian', 'saya', 'terakhir', 'dan', 'tidak', 'mau', 'beli', 'disini', 'lagi', 'bye']","['kasih', 'bintang', 'nya', 'kasih', 'bintang', 'nih', 'pembelian', 'kecewa', 'pengiriman', 'sangatttttttttt', 'respon', 'penjual', 'lelet', 'pikir', 'pembelian', 'cepat', 'management', 'nya', 'diperbaiki', 'ditambah', 'barang', 'free', 'ongkir', 'penjual', 'pelit', 'kikir', 'tolong', 'care', 'customer', 'barang', 'laku', 'kalo', 'nya', 'gratis', 'ongkir', 'kalah', 'brand', 'mengasih', 'pelayanan', 'terbaik', 'note', 'pembelian', 'beli', 'bye']","['kasih', 'bintang', 'nya', 'kasih', 'bintang', 'nih', 'beli', 'kecewa', 'kirim', 'sangatttttttttt', 'respon', 'jual', 'lelet', 'pikir', 'beli', 'cepat', 'management', 'nya', 'baik', 'tambah', 'barang', 'free', 'ongkir', 'jual', 'pelit', 'kikir', 'tolong', 'care', 'customer', 'barang', 'laku', 'kalo', 'nya', 'gratis', 'ongkir', 'kalah', 'brand', 'asih', 'layan', 'baik', 'note', 'beli', 'beli', 'bye']"
7,kecewa bgt sama somethinc pakai produk ini mukaku keluar beruntusan parah kulitnya disentuh aja jadi sakit trs aku konsultasi ke wa nya dijawab sekali trus gak pernah dijawab lagi please  ini muka orang pelayanannya diperbaiki jangan cuma bisa jual doank,kecewa banget sama somethinc pakai produk ini mukaku keluar beruntusan parah kulitnya disentuh saja jadi sakit terus aku konsultasi ke wa nya dijawab sekali terus enggak pernah dijawab lagi please  ini muka orang pelayanannya diperbaiki jangan cuma bisa jual doang,"['kecewa', 'banget', 'sama', 'somethinc', 'pakai', 'produk', 'ini', 'mukaku', 'keluar', 'beruntusan', 'parah', 'kulitnya', 'disentuh', 'saja', 'jadi', 'sakit', 'terus', 'aku', 'konsultasi', 'ke', 'wa', 'nya', 'dijawab', 'sekali', 'terus', 'enggak', 'pernah', 'dijawab', 'lagi', 'please', 'ini', 'muka', 'orang', 'pelayanannya', 'diperbaiki', 'jangan', 'cuma', 'bisa', 'jual', 'doang']","['kecewa', 'banget', 'somethinc', 'pakai', 'produk', 'mukaku', 'beruntusan', 'parah', 'kulitnya', 'disentuh', 'sakit', 'konsultasi', 'wa', 'nya', 'please', 'muka', 'orang', 'pelayanannya', 'diperbaiki', 'jual', 'doang']","['kecewa', 'banget', 'somethinc', 'pakai', 'produk', 'muka', 'beruntus', 'parah', 'kulit', 'sentuh', 'sakit', 'konsultasi', 'wa', 'nya', 'please', 'muka', 'orang', 'layan', 'baik', 'jual', 'doang']"
8,no review found,no review found,"['no', 'review', 'found']","['no', 'review', 'found']","['no', 'review', 'found']"
9,irritated my eyelids takes  while to absorb,irritated my eyelids takes  while tapi absorb,"['irritated', 'my', 'eyelids', 'takes', 'while', 'tapi', 'absorb']","['irritated', 'my', 'eyelids', 'takes', 'while', 'absorb']","['irritated', 'my', 'eyelids', 'takes', 'while', 'absorb']"
